"","price","lot_size","waterfront","age","land_value","construction","air_cond","fuel","heat","sewer","living_area","fireplaces","bathrooms","rooms"
"22",104900,0.43,"No",21,5600,"No","No","Electric","Electric","Public",1600,0,1.5,4
"23",148635,0.32,"No",1,6200,"Yes","Yes","Gas","Hot Air","Private",1576,0,2.5,7
"24",150000,0.03,"No",24,5100,"No","No","Oil","Hot Air","Private",2080,0,2,6
"25",90400,0.36,"No",16,5200,"No","No","Electric","Electric","Public",1600,0,1.5,4
"26",248800,4,"No",28,5500,"No","No","Oil","Hot Air","Private",2224,0,3,10
"27",135000,1.83,"No",126,6000,"No","No","Oil","Hot Water","Private",1656,0,1,6
"28",145000,3,"No",26,4500,"No","No","Oil","Hot Air","Private",1170,0,1.5,5
"29",457000,0.43,"Yes",53,2700,"No","No","Oil","Hot Air","Public",2461,1,2,10
"30",140000,0.44,"No",56,19400,"No","Yes","Oil","Hot Air","Private",1544,1,1.5,7
"31",130000,1.24,"No",51,24800,"No","No","Oil","Hot Water","Private",1220,2,1,4
"32",187000,0.46,"No",3,15200,"No","No","Gas","Hot Air","Private",1858,1,2.5,7
"33",229000,0.87,"No",9,41100,"No","No","Gas","Hot Air","Public",2219,1,2,8
"34",227000,1.8,"No",201,25500,"No","No","Oil","Hot Air","Private",1876,0,2.5,5
"35",179900,0.46,"No",1,15200,"No","No","Gas","Hot Air","Private",2026,1,2.5,6
"36",169900,0.91,"No",19,20200,"No","Yes","Gas","Hot Air","Private",1671,1,3,8
"37",209900,0.46,"No",1,15200,"No","No","Gas","Hot Air","None",2060,1,2.5,7
"38",169900,0.59,"No",0,17300,"No","No","Gas","Hot Air","Private",1884,1,2.5,9
"39",293000,7.24,"No",43,36600,"No","No","Gas","Hot Water","Private",2022,2,3,6
"40",245900,0.19,"No",0,20700,"No","Yes","Gas","Hot Air","None",2394,1,2.5,7
"41",157000,0.46,"No",45,20200,"No","No","Gas","Hot Air","Private",1390,1,1.5,6
"42",195000,0.41,"No",32,27100,"No","Yes","Gas","Hot Air","Private",1954,0,2.5,8
"43",150000,0.78,"No",54,24500,"No","Yes","Oil","Hot Air","Private",1554,1,1.5,5
"44",234900,0.89,"No",9,41600,"No","Yes","Gas","Hot Air","Public",1976,0,2.5,6
"45",279550,1.34,"No",0,44400,"No","No","Gas","Hot Air","Private",2479,1,2.5,10
"46",246500,1,"No",0,17100,"No","No","Gas","Hot Air","None",2714,1,2.5,9
"47",124000,1,"No",98,15500,"No","No","Oil","Hot Air","Private",797,0,1,3
"48",138000,0.27,"No",54,8900,"No","No","Gas","Hot Water","Private",1500,0,2.5,7
"49",290000,0.71,"Yes",73,61000,"No","No","Oil","Hot Air","Private",1838,0,2,8
"50",108000,0.9,"No",48,19000,"No","No","Gas","Hot Air","Private",1042,1,2,3
"51",134900,0.24,"No",10,8000,"No","Yes","Gas","Hot Air","Public",1782,0,2.5,6
"52",64500,0.06,"No",16,1600,"No","No","Gas","Hot Air","Public",1480,1,2.5,5
"53",142000,0.55,"No",20,13800,"No","No","Gas","Hot Air","Private",1426,1,2,6
"54",125000,0.34,"No",32,11100,"No","No","Gas","Hot Air","Private",1404,0,2,5
"55",88000,0.19,"No",15,3400,"No","Yes","Gas","Hot Water","Public",1480,1,1.5,5
"56",135000,0.23,"No",135,8100,"No","No","Gas","Hot Water","Public",1344,0,1,5
"57",90000,0.07,"No",14,1800,"No","Yes","Gas","Hot Air","Public",1480,1,2.5,5
"58",90100,0.09,"No",15,2400,"No","No","Gas","Hot Water","Public",1480,1,1.5,7
"59",126900,0.25,"No",10,8400,"No","No","Gas","Hot Air","Public",1596,0,2.5,6
"60",175000,0.47,"No",15,27200,"No","No","Electric","Electric","Private",1768,1,2,5
"61",158000,0.36,"No",10,12100,"No","Yes","Gas","Hot Air","Public",1348,1,2,3
"62",92000,0.07,"No",14,1800,"No","No","Gas","Hot Air","Public",1480,1,1.5,8
"63",82800,0.11,"No",225,3900,"No","No","Gas","Hot Air","Public",1483,0,1,7
"64",140000,0.23,"No",25,8300,"No","Yes","Gas","Hot Air","Public",1576,1,1.5,5
"65",171000,3.16,"No",15,24100,"No","No","Electric","Electric","Private",1008,0,1,7
"66",200640,0.08,"No",0,32000,"Yes","No","Gas","Hot Air","Public",2332,0,2.5,9
"67",139000,0.57,"No",30,7500,"No","No","Oil","Hot Air","Private",1064,1,1,5
"68",225000,0.5,"No",12,15300,"No","Yes","Gas","Hot Air","Public",2428,1,2.5,11
"69",182000,1,"No",16,26600,"No","No","Electric","Electric","Private",1310,1,2,7
"70",208767,0.5,"No",0,32000,"Yes","Yes","Gas","Hot Air","Public",1662,0,2,7
"71",186000,0.55,"No",0,4400,"Yes","No","Gas","Hot Air","Public",2000,0,2.5,7
"72",93000,0.1,"No",14,2600,"No","No","Gas","Hot Air","Public",1480,1,1.5,6
"73",257386,0.5,"No",0,32000,"Yes","Yes","Gas","Hot Air","Public",2969,1,4,10
"74",161000,0.31,"No",10,10400,"No","Yes","Gas","Hot Air","Public",1542,0,2.5,5
"75",92000,0.28,"No",18,6300,"No","No","Oil","Hot Air","Private",1527,0,2,7
"76",211002,0.06,"No",0,32000,"Yes","No","Gas","Hot Air","Public",2195,0,2.5,8
"77",115000,0.06,"No",14,1600,"No","No","Gas","Hot Air","Public",1480,1,1.5,6
"78",113000,0.46,"No",53,9200,"No","Yes","Oil","Hot Water","Private",1452,0,2,7
"79",216300,0.1,"No",0,32000,"Yes","No","Gas","Hot Air","Public",2360,0,2.5,10
"80",145000,2.12,"No",32,19000,"No","No","Oil","Hot Air","Private",1440,1,1,8
"81",114000,0.06,"No",14,1600,"No","No","Electric","Hot Air","Public",1480,1,2.5,5
"82",139050,0.21,"No",125,7300,"No","No","Gas","Hot Air","Public",1879,0,2.5,6
"83",104000,0.06,"No",14,1600,"No","No","Gas","Hot Air","Public",1480,0,1.5,6
"84",169900,0.26,"No",11,8700,"No","No","Gas","Hot Air","Public",1792,0,2.5,8
"85",177900,0.29,"No",2,25000,"No","No","Gas","Hot Air","Private",1386,0,2.5,5
"86",133000,1.29,"No",14,10300,"No","Yes","Electric","Hot Air","Private",1676,1,2,3
"87",185000,1,"No",0,4000,"No","No","Gas","Hot Air","Private",768,0,2,9
"88",115000,0.88,"No",16,10000,"No","Yes","Electric","Electric","Private",1560,1,1.5,8
"89",100000,0.52,"No",91,5000,"No","No","Oil","Hot Air","Private",1000,0,1,6
"90",117000,0.07,"No",15,18900,"No","No","Electric","Electric","Private",1676,1,1.5,9
"91",150000,0.32,"No",11,19400,"No","No","Electric","Electric","None",1656,0,1.5,6
"92",187500,0.92,"No",11,20600,"No","No","Electric","Electric","Private",2300,1,1.5,7
"93",107000,0.46,"No",25,18700,"No","No","Gas","Hot Air","Private",1712,1,1,6
"94",126900,0.46,"No",26,18700,"No","No","Gas","Hot Air","Private",1350,0,1.5,5
"95",147000,0.11,"No",15,18900,"No","No","Gas","Hot Air","Private",1676,1,2.5,6
"96",62000,0.4,"No",103,10500,"No","No","Gas","Hot Water","Private",1317,0,1.5,7
"97",101000,0.87,"No",30,8700,"No","No","Gas","Hot Air","Private",1056,1,2,8
"98",143500,0.59,"No",13,19900,"No","No","Gas","Hot Air","Private",912,0,1,7
"99",113400,0.93,"No",18,4500,"No","No","Electric","Electric","Private",1232,0,2,3
"100",76320,0.15,"No",68,2000,"No","No","Gas","Hot Air","Public",1380,1,1,5
"101",110000,0.59,"No",10,3100,"No","Yes","Gas","Hot Air","Private",936,0,1,6
"102",88000,0.33,"No",49,3400,"No","No","Gas","Hot Air","Private",720,0,1,4
"103",108000,0.32,"No",30,6500,"No","No","Oil","Hot Water","Private",1628,1,1.5,4
"104",114900,0.46,"No",41,5000,"No","No","Gas","Hot Air","Private",1144,0,1.5,6
"105",146000,0.48,"No",2,3000,"No","No","Gas","Hot Air","Private",1827,0,2.5,9
"106",225000,2.37,"No",8,3300,"No","No","Oil","Hot Water","Private",1784,1,2,6
"107",138000,0.83,"No",16,3700,"No","Yes","Gas","Hot Air","Private",1851,1,2.5,8
"108",218070,1,"No",0,3500,"Yes","No","Gas","Hot Water","Private",2194,0,2.5,8
"109",25000,0.21,"No",75,900,"No","No","Oil","Hot Air","Private",920,0,1,6
"110",112000,0.27,"No",36,3800,"No","No","Gas","Hot Water","Public",1280,0,1,5
"111",112500,0.72,"No",43,4600,"No","No","Electric","Electric","Private",1232,1,1,5
"112",97000,0.36,"No",45,3600,"No","No","Gas","Hot Water","Private",1406,0,1.5,6
"113",121000,0.52,"No",6,2500,"No","No","Gas","Hot Air","Private",1164,0,2,5
"114",65720,0.19,"No",123,2100,"No","No","Gas","Hot Water","Public",1198,0,1,5
"115",225000,0.38,"No",10,6600,"No","Yes","Gas","Hot Air","Private",2206,1,2.5,8
"116",192000,0.82,"No",0,5000,"Yes","Yes","Gas","Hot Air","Private",1880,1,2.5,9
"117",158500,0.69,"No",6,3400,"No","No","Oil","Hot Air","Private",1368,0,1.5,8
"118",247000,0.51,"No",16,6000,"No","Yes","Gas","Hot Air","Private",1901,1,2.5,5
"119",193777,0.72,"No",11,3200,"No","No","Gas","Hot Air","Private",1547,0,2,8
"120",136500,0.62,"No",12,5400,"No","No","Gas","Hot Air","Private",896,0,2,5
"121",75000,1,"No",45,8000,"No","No","Gas","Hot Air","Private",1008,0,1,7
"122",45000,0.52,"No",75,3900,"No","No","Gas","Hot Air","Private",912,0,1,4
"123",243000,0.82,"No",12,3700,"No","No","Gas","Hot Air","Private",2443,0,2.5,6
"124",90000,0.29,"No",83,3900,"No","No","Gas","Hot Air","Public",900,0,1,7
"125",158000,0.52,"No",0,4400,"Yes","Yes","Gas","Hot Air","Private",2098,0,2,7
"126",174000,0.64,"No",9,3000,"No","No","Gas","Hot Water","Private",2115,1,2.5,7
"127",150000,0.52,"No",12,4500,"No","No","Gas","Hot Air","Private",1344,1,2,7
"128",159650,1,"No",3,5200,"No","No","Gas","Hot Air","Private",1106,0,1,8
"129",139062,0.69,"No",33,6500,"No","No","Gas","Hot Water","Private",1440,2,2,6
"130",84950,0.13,"No",0,15000,"Yes","No","Gas","Hot Air","Public",840,0,1,3
"131",102000,0.22,"No",10,7300,"No","No","Gas","Hot Air","Public",1170,0,1,6
"132",175000,0.46,"No",15,23400,"No","No","Oil","Hot Air","Private",1664,0,1,5
"133",78500,1,"No",153,27300,"No","No","Oil","Hot Air","Private",3024,0,1,12
"134",232478,1,"No",0,15900,"No","No","Gas","Hot Air","None",2598,1,2.5,9
"135",93805,0.13,"No",0,15000,"Yes","No","Gas","Hot Air","Public",840,0,1.5,7
"136",119900,1.03,"No",63,41500,"No","No","Oil","Hot Water","Private",1701,0,1,10
"137",146000,1.17,"No",33,41800,"No","No","Oil","Hot Air","Private",1456,1,1.5,6
"138",125000,0.34,"No",44,19000,"No","No","Oil","Hot Air","Private",1224,0,1,4
"139",135000,0.38,"No",48,21300,"No","No","Gas","Hot Air","Private",1411,1,1,5
"140",157500,1.96,"No",29,39700,"No","No","Oil","Hot Air","Private",1608,1,1.5,5
"141",135000,3,"No",178,44500,"No","No","Oil","Hot Water","Private",3020,0,2.5,12
"142",142900,0.33,"No",32,22500,"No","No","Gas","Hot Water","Public",1898,1,1.5,7
"143",259900,0.46,"No",1,36600,"Yes","Yes","Gas","Hot Air","Public",2544,1,2.5,9
"144",85000,0.29,"No",16,22100,"No","No","Electric","Electric","Public",1038,0,1,7
"145",180377,0.35,"No",1,37000,"Yes","No","Gas","Hot Air","Public",1820,1,2.5,6
"146",163500,0.28,"No",21,28400,"No","Yes","Electric","Electric","Public",2202,1,2,10
"147",106500,0.52,"No",53,20300,"No","No","Oil","Hot Air","Private",2387,0,1,6
"148",115000,0.11,"No",16,20700,"No","Yes","Electric","Electric","Public",1368,1,1.5,3
"149",115000,0.14,"No",16,21000,"No","Yes","Electric","Electric","Public",1480,1,2,5
"150",135000,0.14,"No",15,19600,"No","Yes","Electric","Electric","Public",1348,1,1.5,5
"151",198900,0.47,"No",7,25500,"No","Yes","Gas","Hot Air","Public",1889,1,2.5,8
"152",139000,0.14,"No",16,19600,"No","Yes","Electric","Electric","Public",1343,1,1.5,6
"153",206000,0.51,"No",15,39600,"No","Yes","Gas","Hot Air","Public",2011,1,2.5,7
"154",120000,0.21,"No",15,28800,"No","Yes","Gas","Hot Air","Public",1180,1,1.5,3
"155",205980,0.14,"No",1,45200,"Yes","Yes","Gas","Hot Air","Public",1983,1,2.5,5
"156",275000,0.55,"No",14,72000,"No","Yes","Gas","Hot Air","Public",2253,1,2.5,7
"157",139000,0.07,"No",12,24500,"No","Yes","Gas","Hot Air","Public",1604,0,1.5,4
"158",89900,0.49,"No",83,11900,"No","No","Gas","Hot Air","Private",1196,0,1,6
"159",139900,0.07,"No",13,24500,"No","Yes","Gas","Hot Air","Public",1602,0,2.5,7
"160",172750,0.36,"No",1,37100,"Yes","No","Gas","Hot Air","Public",1747,0,2.5,5
"161",136000,0.5,"No",37,19800,"No","No","Oil","Hot Water","Private",1092,0,1,5
"162",270000,0.48,"No",10,37800,"No","Yes","Gas","Hot Air","Public",2410,1,2.5,11
"163",174000,0.29,"No",14,31100,"No","Yes","Gas","Hot Air","Public",1933,1,2.5,6
"164",379000,0.68,"No",9,57200,"No","Yes","Gas","Hot Air","Public",3080,1,2.5,12
"165",382500,4.08,"No",13,75500,"No","Yes","Oil","Hot Air","Private",4534,2,2.5,12
"166",144900,0.1,"No",14,26000,"No","Yes","Gas","Hot Air","Public",1677,1,2.5,5
"167",349900,0.62,"No",7,57800,"No","Yes","Gas","Hot Air","Public",2900,1,2.5,11
"168",133000,0.07,"No",16,20300,"No","Yes","Electric","Electric","Public",1392,1,1.5,5
"169",115000,0.16,"No",15,22400,"No","No","Gas","Hot Air","Public",1058,1,1.5,7
"170",211950,0.36,"No",1,29200,"Yes","Yes","Gas","Hot Air","Public",2342,1,2.5,8
"171",227812,0.01,"No",0,37200,"Yes","Yes","Gas","Hot Air","Public",2206,1,2.5,10
"172",164400,0.34,"No",1,36200,"Yes","Yes","Gas","Hot Air","Public",1516,1,2,5
"173",340000,0.75,"No",12,82500,"No","Yes","Gas","Hot Air","Public",2836,1,2.5,10
"174",139900,0.29,"No",15,35200,"No","Yes","Gas","Hot Air","Public",1256,0,1.5,7
"175",279900,0.47,"No",6,20000,"No","Yes","Gas","Hot Air","Public",2340,1,3.5,10
"176",225000,0.32,"No",0,53900,"Yes","Yes","Gas","Hot Air","Public",2129,1,2.5,9
"177",144500,0.12,"No",15,16800,"No","Yes","Gas","Hot Air","Public",1343,1,2.5,4
"178",362710,1,"No",0,24300,"Yes","Yes","Gas","Hot Air","Private",2963,1,2.5,10
"179",247000,0.46,"No",13,36600,"No","Yes","Gas","Hot Air","Public",2114,1,3.5,8
"180",120000,0.18,"No",16,21400,"No","Yes","Electric","Electric","Public",1144,1,1,7
"181",136000,0.55,"No",33,14900,"No","No","Oil","Hot Air","Private",988,1,1,7
"182",228500,0.46,"No",9,45800,"No","No","Gas","Hot Air","Public",1475,0,2,4
"183",162800,0.15,"No",10,28500,"No","No","Gas","Hot Air","Public",1247,0,1.5,7
"184",230000,0.93,"No",48,23500,"No","No","Gas","Hot Water","Private",1912,1,2,10
"185",115800,0.46,"No",23,19700,"No","No","Oil","Hot Air","Private",1440,0,1.5,5
"186",175000,0.26,"No",16,30100,"No","Yes","Gas","Hot Air","Public",1596,1,2,6
"187",263008,0.63,"No",0,24400,"Yes","Yes","Gas","Hot Air","Public",2665,1,2.5,11
"188",146000,0.5,"No",35,28000,"No","No","Gas","Hot Water","Private",1984,0,1.5,8
"189",204900,0.03,"No",10,35800,"No","Yes","Gas","Hot Air","Public",1616,0,2,6
"190",265000,0.17,"No",9,40500,"No","No","Gas","Hot Air","Public",1917,1,2.5,5
"191",167500,0.64,"No",37,16400,"No","No","Oil","Hot Water","Private",2592,1,1.5,9
"192",205000,0.47,"No",6,25500,"No","No","Gas","Hot Air","Public",1845,1,2.5,9
"193",170000,0.92,"No",53,29000,"No","Yes","Oil","Hot Air","Private",1360,0,1,9
"194",176000,0.41,"No",35,26200,"No","Yes","Gas","Hot Air","Public",1664,1,1.5,6
"195",132000,0.16,"No",15,22400,"No","Yes","Gas","Hot Air","Public",1098,1,1.5,3
"196",115500,0.01,"No",17,9900,"No","No","Electric","Electric","Public",1214,0,1.5,4
"197",150000,0.29,"No",93,9200,"No","No","Electric","Electric","Private",1046,0,1,6
"198",120000,0.36,"No",103,32200,"No","No","Oil","Hot Air","Private",1144,0,1,8
"199",125000,0.28,"No",16,22000,"No","Yes","Gas","Hot Air","Public",1140,1,2,6
"200",150000,0.15,"No",14,21000,"No","No","Gas","Hot Air","Public",1232,1,1.5,5
"201",362360,0.59,"No",0,153800,"Yes","Yes","Gas","Hot Air","Public",3020,1,2.5,9
"202",133500,0.36,"No",19,27000,"No","No","Gas","Hot Air","Public",1508,1,2,6
"203",91000,0.16,"No",19,15700,"No","No","Electric","Electric","Public",912,1,1.5,5
"204",104000,0.34,"No",18,27000,"No","No","Electric","Electric","Public",1508,0,1.5,4
"205",148000,0.33,"No",17,27000,"No","No","Gas","Hot Air","Public",1561,1,1.5,6
"206",182000,0.56,"No",30,26400,"No","No","Gas","Hot Water","Public",2625,1,2.5,8
"207",152500,0.48,"No",30,19600,"No","No","Gas","Hot Water","Public",936,1,1,7
"208",97000,0.16,"No",19,15700,"No","No","Electric","Electric","Public",912,0,1.5,3
"209",113000,0.17,"No",16,15100,"No","No","Electric","Electric","Public",1492,0,2.5,8
"210",172000,0.46,"No",30,26300,"No","No","Gas","Hot Water","Public",1599,1,2.5,5
"211",179900,0.81,"No",25,25000,"No","No","Electric","Electric","Private",2304,1,2.5,9
"212",84000,0.15,"No",19,15700,"No","No","Electric","Electric","Public",912,0,1.5,7
"213",117900,0.15,"No",17,15100,"No","Yes","Gas","Hot Air","Public",1385,1,1.5,7
"214",177000,0.32,"No",17,27000,"No","No","Electric","Electric","Public",1561,0,1.5,8
"215",107500,0.16,"No",20,15700,"No","No","Gas","Hot Water","Public",884,0,2,3
"216",92500,0.15,"No",18,15700,"No","No","Electric","Electric","Public",912,0,2,4
"217",102900,0.15,"No",17,15700,"No","No","Gas","Electric","Public",912,0,1.5,3
"218",134800,0.48,"No",73,20500,"No","No","Oil","Hot Air","Private",1384,0,2,5
"219",150000,0.77,"No",7,30000,"No","No","Gas","Hot Air","Public",1334,0,1.5,4
"220",165000,0.42,"No",10,26200,"No","Yes","Gas","Hot Air","Private",1433,1,2,5
"221",120000,0.17,"No",16,15100,"No","No","Electric","Electric","Public",1492,1,2.5,6
"222",177500,0.32,"No",16,27000,"No","Yes","Gas","Hot Air","Public",1561,1,1.5,9
"223",300000,0.09,"Yes",11,32000,"No","No","Electric","Electric","Public",936,0,1,3
"224",123500,0.16,"No",16,15100,"No","No","Electric","Electric","Public",1492,1,2.5,8
"225",141000,0.16,"No",18,15100,"No","No","Electric","Electric","Public",1853,0,2.5,7
"226",105400,0.15,"No",15,15100,"No","No","Electric","Electric","Public",1240,0,1.5,7
"227",100600,0.17,"No",19,15800,"No","No","Electric","Electric","Public",912,0,1.5,6
"228",108900,0.17,"No",19,15800,"No","No","Gas","Hot Air","Public",912,0,1.5,3
"229",105500,0.16,"No",19,15700,"No","No","Gas","Hot Water","Public",912,0,1.5,6
"230",109900,0.16,"No",19,15100,"No","No","Gas","Hot Water","Public",1184,0,1.5,8
"231",172700,0.34,"No",18,27000,"No","No","Electric","Electric","Public",1638,1,2,6
"232",166500,0.31,"No",16,27000,"No","No","Electric","Electric","Public",1508,1,2,6
"233",105000,0.4,"No",50,18000,"No","No","Electric","Electric","Public",672,0,1,5
"234",490000,0.34,"Yes",18,79700,"No","No","Oil","Hot Air","Public",1346,1,2,6
"235",120000,0.16,"No",18,15100,"No","No","Electric","Electric","Public",1184,0,2,5
"236",107500,0.15,"No",16,15700,"No","No","Gas","Hot Air","Public",912,0,1.5,4
"237",116600,0.15,"No",18,15700,"No","No","Electric","Electric","Public",912,1,1.5,5
"238",65000,0.16,"No",19,15700,"No","No","Gas","Hot Air","Public",988,0,2,4
"239",118000,0.16,"No",19,15100,"No","No","Gas","Hot Air","Public",1184,0,2,6
"240",115900,0.15,"No",16,15100,"No","No","Electric","Electric","Public",1385,0,1.5,4
"241",100000,0.15,"No",18,15700,"No","No","Gas","Hot Water","Public",912,0,1.5,3
"242",171000,0.37,"No",18,27000,"No","Yes","Gas","Hot Air","Public",1548,1,2,5
"243",188000,0.31,"No",17,27000,"No","No","Electric","Electric","Public",1561,0,1.5,9
"244",140000,1,"No",24,21000,"No","Yes","Gas","Hot Air","Private",1008,0,1,3
"245",124500,0.15,"No",17,15200,"No","No","Electric","Electric","Public",1385,0,1.5,4
"246",107200,0.16,"No",19,15700,"No","No","Gas","Hot Air","Public",908,0,1,6
"247",107500,0.24,"No",138,1400,"No","No","Oil","Hot Water","Public",2246,0,1.5,9
"248",180000,2.06,"No",16,5900,"No","No","Gas","Hot Air","Private",1820,1,2.5,5
"249",214325,0.42,"No",0,13000,"Yes","Yes","Gas","Hot Air","Public",2554,1,2.5,9
"250",128850,0.92,"No",16,5500,"No","No","Electric","Electric","Private",824,0,1.5,5
"251",208700,0.4,"No",0,15000,"No","No","Gas","Hot Air","Public",2458,1,2.5,9
"252",139900,0.36,"No",22,10500,"No","No","Electric","Electric","Public",1324,0,1,4
"253",350000,5.84,"No",12,20000,"No","Yes","Gas","Hot Air","Public",2916,1,2.5,9
"254",108000,0.16,"No",19,15100,"No","No","Electric","Electric","Public",1032,0,1.5,4
"255",115500,0.15,"No",16,15700,"No","No","Electric","Electric","Public",912,1,1.5,4
"256",135000,0.98,"No",35,19600,"No","No","Electric","Electric","Private",1320,0,1,3
"257",135000,0.33,"No",17,27000,"No","No","Gas","Hot Air","Public",1508,1,1.5,8
"258",107400,0.16,"No",16,15700,"No","No","Electric","Electric","Public",912,1,1.5,7
"259",233000,0.09,"No",12,31200,"No","Yes","Gas","Hot Air","Private",2040,1,2.5,7
"260",105000,0.16,"No",17,15700,"No","No","Electric","Electric","Public",912,1,1.5,5
"261",335000,3,"No",10,53600,"No","Yes","Oil","Hot Air","Public",1776,0,2,6
"262",139000,0.58,"No",25,25000,"No","No","Electric","Electric","Public",1304,0,2,8
"263",209500,0.42,"No",10,26200,"No","Yes","Gas","Hot Air","Private",1836,1,2.5,8
"264",101000,0.17,"No",18,15800,"No","No","Electric","Electric","Public",912,0,2,3
"265",77500,0.16,"No",19,15700,"No","No","Electric","Electric","Public",912,0,1.5,6
"266",150500,0.31,"No",16,27000,"No","No","Electric","Electric","Public",1527,1,2,7
"267",167000,0.99,"No",17,5700,"No","No","Electric","Electric","Private",1454,0,1.5,7
"268",114000,0.26,"No",26,4600,"No","No","Oil","Hot Water","Public",1700,1,1.5,4
"269",160000,0.45,"No",27,7000,"No","No","Electric","Electric","Public",1680,0,1,9
"270",85000,0.49,"No",0,13000,"No","Yes","Gas","Hot Air","Public",2401,1,2.5,10
"271",143000,0.35,"No",21,11000,"No","No","Electric","Electric","Public",1176,0,1,7
"272",126000,0.4,"No",24,9800,"No","No","Electric","Electric","Public",1344,1,1.5,7
"273",140000,0.48,"No",23,10400,"No","No","Electric","Electric","Public",1344,0,1.5,8
"274",140000,0.35,"No",9,13000,"No","No","Gas","Hot Water","Private",1714,0,2.5,8
"275",205000,0.25,"No",20,29000,"No","No","Gas","Hot Air","Public",1992,1,3,9
"276",79900,0.12,"No",19,18200,"No","Yes","Gas","Hot Air","Public",924,0,1,7
"277",139000,0.09,"No",24,17600,"No","Yes","Gas","Hot Air","Public",1290,1,1.5,3
"278",190000,0.46,"No",36,27400,"No","No","Gas","Hot Water","Public",2521,1,2.5,10
"279",151500,0.71,"No",58,22700,"No","No","Oil","Hot Water","Public",1377,1,1.5,7
"280",97500,0.06,"No",19,16400,"No","Yes","Gas","Hot Air","Public",1237,1,1.5,6
"281",194500,0.61,"No",41,32300,"No","Yes","Gas","Hot Water","Public",2310,1,2.5,7
"282",195160,0.32,"No",0,35000,"No","No","Gas","Hot Air","Public",1863,1,2.5,9
"283",152500,0.37,"No",26,37500,"No","Yes","Gas","Hot Air","Public",1693,1,1.5,8
"284",159500,0.29,"No",26,31400,"No","Yes","Gas","Hot Air","Public",1684,1,2.5,4
"285",185000,0.95,"No",16,40900,"No","Yes","Electric","Electric","Public",1585,1,1.5,4
"286",240000,0.67,"No",8,72400,"No","Yes","Gas","Hot Air","Public",2290,1,3,9
"287",187900,0.4,"No",32,30000,"No","Yes","Gas","Hot Air","Public",2464,1,2.5,9
"288",262000,0.29,"No",5,29000,"No","Yes","Gas","Hot Air","Public",2549,1,2.5,12
"289",212500,0.35,"No",6,36500,"No","Yes","Gas","Hot Air","Public",2316,1,2.5,7
"290",220000,0.37,"No",18,43000,"No","Yes","Gas","Hot Air","Private",2600,1,2.5,8
"291",245000,0.53,"No",15,65800,"No","Yes","Gas","Hot Air","Public",2677,1,2.5,10
"292",120000,0.06,"No",19,16400,"No","Yes","Electric","Electric","Public",1479,0,1.5,4
"293",102500,0.15,"No",16,18500,"No","Yes","Electric","Electric","Public",1138,0,1,7
"294",136000,0.27,"No",24,18900,"No","No","Gas","Hot Water","Public",1576,0,2.5,4
"295",212500,0.43,"No",10,52200,"No","Yes","Gas","Hot Air","Public",2084,1,2.5,9
"296",205900,0.06,"No",26,35900,"No","Yes","Gas","Hot Air","Public",1726,1,2,8
"297",259900,1,"No",2,49900,"No","Yes","Gas","Hot Air","Private",1851,2,2,4
"298",191500,0.46,"No",30,27400,"No","No","Gas","Hot Air","Public",2310,1,2.5,12
"299",272500,0.03,"No",0,56800,"No","No","Gas","Hot Air","Public",2930,1,2.5,12
