description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
"BROKEN: Device has at least one or more problems: For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11721
"BROKEN: Device has at least one or more problems: For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11738
"BROKEN: Device has at least one or more problems: For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,1,11812
"BROKEN: Device has at least one or more problems: For Parts or Repair",0,36.95,For parts or not working,0,None,Unknown,16,iPad 1,0,11844
"But in mint condition,comes with a screen protector,case,charger,earbuds.",0,225,Used,Unknown,Unknown,Space Gray,16,Unknown,0,11490
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN &amp; ",0,261.99,Seller refurbished,1,Sprint,Black,16,iPad 4,0,11375
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean IMEI &amp; ",0,237.99,Seller refurbished,1,AT&T,Black,16,iPad 4,0,11381
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, iCloud Clear, ",0,257.83,Seller refurbished,0,None,Space Gray,16,iPad Air,0,11104
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,274.99,Seller refurbished,1,AT&T,Space Gray,16,iPad Air,0,10139
Clean ESN.  iCloud clear.  No charger is included.  Very good condition.  See pictures.,1,0.99,Used,1,Unknown,Unknown,16,iPad Air 2,1,10198
"Comes with original box, manuals and unused Apple stickers (2), wall charger, and USB cable.",0,160,Used,0,None,Unknown,16,iPad 2,1,11107
"Comes with original packaging, and has absolutely no scratches or marks.Absolutely beautiful item!It ",1,49.99,Used,0,None,Unknown,16,iPad Air,1,10692
"Comes with the OEM box, charger, and all OEM packaging &#039;as new&#039;.  Used but in excellent condition.",1,1,Used,1,Verizon,Black,16,iPad mini,1,10365
"comes with: grey ipad divider case, white stylus, Apple USB wall charger and USB cord. HDMI adaptor ",1,250,Used,0,None,White,16,iPad Air,1,10114
conditions are good no dents minimal signs of usage .... No icloud attached,0,147.59,Used,0,None,Black,16,iPad 2,1,10562
Contact us with any questions!,0,174.99,Used,0,None,Black,16,iPad 1,0,11109
Crack on screen.,0,125,Used,0,None,Unknown,16,iPad 2,1,10021
Cracked but works read first before buying,0,155,For parts or not working,0,None,White,16,iPad mini 2,0,11768
Cracked screen and locked,1,45,Used,0,None,Unknown,16,iPad 3,1,10098
"Cracked screen, flaw is shown in picture, everything is fully functional and ",1,5,Used,0,None,Unknown,16,iPad mini,0,10491
"Cracked Screen, good condition otherwise.",1,0.99,For parts or not working,0,None,Black,16,iPad 4,1,11744
Device is a 9/10 in fantastic condition. Has been gently used and always used in case. Both cases ,1,200,Used,0,None,White,16,iPad 4,1,10425
"Device is factory unlocked and has protective film installed, comes with 360 degree black rotation ",1,279,Used,1,Verizon,Black,16,iPad Air,1,10577
"Device is in GOOD used cosmetic condition with normal wear, engraving on back. Device is in 100% ",0,90,Used,0,None,Unknown,16,iPad 1,0,11163
"Device is in Great Condition.  Grade A, However it does not come  in Original Packaging.  Comes in ",0,300,Manufacturer refurbished,0,None,White,16,iPad 4,0,11020
Device is in POOR used cosmetic condition with cracked outer glass. Color is White. Device is ,0,99.95,For parts or not working,1,Verizon,Unknown,16,iPad 3,1,11735
excellent,1,0.01,Used,0,None,Black,16,iPad 3,1,10624
Excellent,0,250,Used,1,Verizon,White,16,iPad 3,0,11075
Excellent Condition,1,75,Used,0,None,White,16,iPad 3,1,10271
Excellent condition,1,99.99,Used,0,None,White,16,iPad 2,1,10540
"Excellent condition - 100% functional - Apple warranty valid until March 1, 2016 - There is 1 light, ",0,399,Used,0,None,Gold,16,iPad Air 2,0,10279
Excellent condition and fully functional,1,0.99,Seller refurbished,1,Unknown,Black,16,iPad Air,1,11344
"Excellent condition, no scratches or dented well kept as shown in pics. Came with charger and data ",0,200,Used,0,None,White,16,iPad mini,0,11347
Excellent condition. Always in an iPad case of cover.,0,155,Used,0,None,Unknown,16,iPad 2,1,10610
Excellent condition. No scratches.,1,100,New other (see details),0,None,Unknown,16,iPad mini,1,10357
"Excellent Pre-owned Condition, Barely Used. No cracks or major scratches.",0,175,Used,0,None,White,16,iPad 2,0,10409
Excellent. Bought in April,1,149.95,Used,0,None,Space Gray,16,iPad mini,1,11027
"Fantastic condition, fully functional. Small ding on lower right corner, no impact on screen. Case ",0,269.95,Used,0,None,Black,16,iPad 3,0,11572
Few minor scratches on iPad body/bezel and/or screen.,0,199.99,Seller refurbished,0,None,Unknown,16,iPad 2,0,11047
For Parts Or Repair,0,85,For parts or not working,0,None,Black,16,iPad 2,0,11756
"Front glass has already been removed, they are ready for a new digitizer to be installed. They have ",0,165,For parts or not working,Unknown,Unknown,Unknown,16,iPad mini,0,11750
FULLY FUNCTIONAL,1,0.99,Seller refurbished,1,AT&T,Black,16,iPad 1,1,10340
FULLY FUNCTIONAL,1,0.99,Seller refurbished,1,AT&T,Black,16,iPad 1,1,10998
"FULLY FUNCTIONAL, CLEAN ESN",0,129.99,Used,1,Verizon,Black,16,iPad 2,0,10023
"Fully functional, no issues with it. Just have newer models now and want to sell. This model has the ",0,165,Used,0,None,Unknown,16,iPad 1,0,11008
Fully functional. Great condition.,1,0.99,Used,0,None,Gold,16,iPad mini 3,1,10816
Good Condition,0,149.99,Used,0,None,Black,16,iPad 2,1,10754
Good condition and functional 16GB iPad Mini Wifi - White. Please read full discription,1,149,Used,0,None,White,16,iPad mini,0,10528
Good condition fully functional. Does show some signs of wear but these were used in corporate ,1,0.01,Used,1,AT&T,Unknown,16,iPad 2,1,10402
Good condition fully functional. Does show some signs of wear but these were used in corporate ,1,0.01,Used,1,AT&T,Unknown,16,iPad 2,1,10659
"good condition, minor wear and tear on body some light scratches on screen. functions great.",0,199.99,Used,0,None,Black,16,iPad 4,1,10011
Good condition.,1,99.99,Used,0,None,Black,16,Unknown,1,10348
Good Condition. Fully Functional.,1,0.99,Used,0,None,White,16,iPad 2,1,10753
Good Condition. Fully Functional.,1,0.99,Used,0,None,White,16,iPad 2,1,11313
GOOD CONDITION..CLEAN ICLOUD..NO LOCKS..CLEAN IMEI..This tablet has been fully tested and works ,1,20,Used,1,AT&T,Black,16,iPad 1,1,10013
GOOD COSMETIC AND PERFECT WORKING CONDITION! HAS JUST TWO DENTS ON CORNERS! SCREEN FREE OF ,1,149,Used,0,None,Space Gray,16,iPad mini,1,10694
"Good overall condition, used very lightly. Some minor signs of wear on back of case, screen in ",0,128,Used,1,AT&T,Unknown,16,iPad 2,1,11536
Good to very good condition. Restored to factory settings.,1,99.99,Used,0,None,White,16,iPad mini,1,10196
Good used condition. Restored to factory settings.,1,184.99,Used,0,None,Space Gray,16,iPad Air,1,10208
Good working and fully functional 16GB iPad Air Wifi &amp; cellular. Please read full discription,1,199,Used,1,AT&T,Space Gray,16,iPad Air,1,10755
Good working condition and fully functional 16GB iPad Air Wifi. Please read full discription,1,229,Used,0,None,Space Gray,16,iPad Air,0,10938
Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ,0,209.85,Manufacturer refurbished,1,Verizon,Black,16,iPad mini,0,10914
Grade A refurbished.  Opened / components unsealed.  No factory packaging.  No cosmetic damage ,0,294.99,Manufacturer refurbished,0,None,White,16,iPad Air,0,10160
"Grade B Condition, no screen cracks, perfectly functioning.",0,239,Seller refurbished,1,Sprint,Unknown,16,iPad mini,1,11062
Grade B refurbished.  No factory packaging.  Small dent in side casing (see photos).  Several ,0,249.99,Manufacturer refurbished,1,Verizon,Black,16,iPad 4,0,10424
Grade B+ refurbished.  No factory packaging.  There is a surface level scratch on the rear casing ,0,249.99,Manufacturer refurbished,1,Verizon,Black,16,iPad 4,0,10121
Grade C-Major Dent and Scratched,0,134.95,Used,0,None,Black,16,iPad 2,1,10099
Great condition,0,265,Used,0,None,Unknown,16,iPad 4,0,10771
great condition,1,100,Used,Unknown,Unknown,Unknown,16,iPad 2,0,11432
Great Condition - Cosmetically 8 out of 10 and includes Warranty and FREE Magnetic Smart Cover!,0,199.99,Seller refurbished,0,None,Black,16,iPad 2,1,10902
Great Condition - no cracks or scratches on the screen,0,234,Used,0,None,White,16,iPad 3,0,10554
Great condition and lightly used!,1,75,Used,0,None,Unknown,16,iPad mini,1,10384
Great Condition no scratches on screen,0,209.99,Used,0,None,White,16,iPad mini,0,11174
"Great Condition, No charger",1,0.01,Used,0,None,Unknown,16,iPad 2,1,10666
"Great iPad, no scratch, been kept in case at all times.  I have zombie skin on it but can easily be ",1,225,Used,0,None,Unknown,16,iPad 4,0,10302
Great shape very minimal scratches. Comes with a BEETLE defense case. Does not come with cord or ,1,150,Used,0,None,Unknown,16,iPad mini,0,10529
Great working iPad.  Minor surface scratches on back as pictured.  Other very light scratching which ,0,187.5,Used,0,None,Black,16,iPad 3,0,10146
Great working iPad.  Only light scratching consistent with typical wear as pictured.,0,187.5,Used,0,None,Black,16,iPad 3,0,10022
Great working iPad.  Very minor surface scratches on back as pictured.  Other very light scratching ,0,184.5,Used,0,None,Black,16,iPad 3,1,10017
Great working iPad.  Very minor surface scratches on back as pictured.  Other very light scratching ,0,187.5,Used,0,None,Black,16,iPad 3,0,10171
great&lt;br&gt;,1,290,Used,0,None,White,16,iPad mini,0,11175
"Half of the screen doesn&#039;t work and it&#039;s cracked, damage shown in pictures.",0,100,Used,Unknown,Unknown,Unknown,16,Unknown,0,11585
Has a small crack on top right corner,1,160,Used,0,None,Black,16,iPad mini 2,0,10103
Has been opened but not used...still in box. Does not come with a book or charger,0,259,New other (see details),1,AT&T,Unknown,16,iPad 3,0,10052
"Has two scratches, not too visible. Works great its like new, still have everything, only missing ",0,280,Used,0,None,White,16,iPad Air,1,10675
"Heavily Used condition. 100% Fully Functional, Clean IMEI &amp; iCloud, professionally restored, ",0,270.99,Used,1,AT&T,Space Gray,16,iPad Air,0,11143
"Heavily used, digitizer is cracked in top right corner, plastic cover over 4G antenna has a crack in ",1,115,Used,1,AT&T,Black,16,iPad 3,1,10070
"I AM SELLING THIS UNIT AS IS-NO REFUNDS, RETURNS OR GUARANTEES-IT HAS A BLOCKED/BAD IMEI.",0,289.95,Used,1,T-Mobile,Black,16,iPad mini 2,0,11135
"I have always kept a case and screen protector on the iPad. I only used it at home, so it&#039;s in mint ",1,265,Used,1,T-Mobile,Unknown,16,iPad Air,0,10752
I replaced the battery in this IPad roughly one year ago. I was unable to properly re-assemble it ,1,1,Used,1,Verizon,Black,16,iPad 1,1,10226
I take really good care of my toys. the iPad is in great condition :),1,199.99,Used,1,AT&T,White,16,iPad Air,1,10571
I would describe this item as excellent with no scratches. Well taken care of. Original owner.,1,100,Used,0,None,White,16,iPad 2,1,10323
Icloud lock,0,129.99,For parts or not working,0,None,White,16,iPad 2,0,11610
Icloud locked - clean no scratches,1,49.95,Used,0,None,White,16,iPad mini,1,11829
"iCloud Locked. For Use if you can unlock it, or parts.",1,100,Used,0,None,Space Gray,16,iPad Air,1,10593
Immaculate Condition... In a Box,1,299.99,Used,0,None,Unknown,16,iPad Air,0,11166
In good condition has a minor scratch on the back,0,199,For parts or not working,0,None,Unknown,16,iPad mini,0,11752
In great condition and fully functional. Does not include box.,1,0.01,Used,0,None,Unknown,16,iPad 1,1,10446
In great condition with no scratches on screen.,1,259.99,Used,0,None,Black,16,iPad 4,0,10970
In great condition with no scratches on screen.,1,349.99,Used,0,None,Black,16,iPad Air 2,0,11095
In Great Condition with normal light scratches/usage,0,349.95,Used,1,AT&T,Unknown,16,iPad Air,0,10655
"In great working condition, Power button does not work, See description, iCloud is unlocked",0,146.99,Used,0,None,White,16,iPad 2,0,11044
In great working condition. Very little where in tear.,1,50,Used,0,None,Black,16,Unknown,0,10199
In mint condition,0,320,Used,1,Unknown,Unknown,16,iPad 4,0,11358
In new condition only used a short time and always had it in the case. Also selling the case with ,0,165,Used,0,None,Black,16,iPad 1,0,11523
"In perfect working order. No scratches, dents, cracks, etc.",1,115,Used,0,None,Black,16,iPad 4,1,10417
IN VERY GOOD CONDITION!!!!,0,130,Used,0,None,White,16,iPad mini,1,10343
"In very good condition, some scratches on corner but otherwise almost new",0,220,Used,0,None,Unknown,16,iPad 2,0,11558
"In very good conditions, does show sign of use but mostly had a case on at all times. Still has a ",0,90,Used,0,None,Unknown,16,iPad 1,1,10032
"In working condition, cosmetic damages to the housing that do not affect its function. Fully ",1,0.99,Used,1,AT&T,Black,16,iPad 1,1,10708
Includes all original packaging. Bought new two months ago and too late to return it. My loss is ,1,350,New other (see details),1,AT&T,White,16,iPad mini 2,0,11494
"Includes iPad only. Does not include USB/power cord, additional accessories or box. iPad is clean ",1,0.99,Used,0,None,Black,16,iPad 4,1,10966
"Includes iPad only. Does not include USB/power cord, additional accessories or box. Shows some signs ",1,0.99,Used,0,None,Unknown,16,iPad Air,1,10912
"iPad 1 16G, in excellent condition, a few tiny scratches, only noticeable when screen is off. This ",0,119.99,Used,0,None,Black,16,iPad 1,0,10842
iPad is in 8.5+ out of 10 cosmetic condition!,0,159.99,Used,0,None,Black,16,iPad 2,0,10001
"iPad is in good condition, has minimal wear and tear. iPad is icloud locked. SOLD AS-IS! FOR PARTS ",0,66.99,For parts or not working,0,None,Unknown,16,iPad 2,0,11751
"Ipad is in good condition, minimal wear and tear. Ipad is icloud locked.",0,74.99,For parts or not working,0,None,Unknown,16,iPad mini,0,11801
iPad is in GREAT condition! The screen and case has a few light surface scratches. See photos for ,1,399.99,Used,0,None,White,16,iPad Air 2,1,10231
"iPad is in great condition. Works perfect, still as fast a day one. There is normal wear and tear ",1,79.99,Used,0,None,Unknown,16,iPad 4,1,10203
IPAD IS IN VERY GOOD CONDITION WITH NO MAJOR SCRATCHES TO SCREEN AND NO CRACKS OR DENT ....IPAD IS ,1,0.99,Seller refurbished,0,None,White,16,iPad 4,1,11831
"Ipad is used, in very good cosmetic condition. Has some very minor scratches on the body from normal ",0,249.99,Used,0,None,Unknown,16,iPad 4,0,10028
"Ipad like New with all accessories and documents , Buy 1 get 1 gift",0,80,Used,0,None,Unknown,16,iPad 1,0,11007
IPAD mini .. not sure of what generation it can be.. selling as is or best offer..had a crack but ,0,149.99,Used,Unknown,Unknown,Unknown,16,Unknown,0,11172
"iPad mini 2 is an open box item, good condition. Does not include original box. Include Genuine ",0,238.8,Used,0,None,Space Gray,16,iPad mini 2,0,10026
"iPad Mini does not have any dents or heavy visible scratches, as shown in the pictures.",1,0.99,For parts or not working,0,None,Space Gray,16,iPad mini,1,11647
Ipad mini is in good condition overall. Has some minor scratches on the back but otherwise in good ,0,400,Used,1,Verizon,Gold,16,iPad mini 3,0,10947
iPAD ONLY.EXCELLENT USED CONDITION.VERY LIGHT WEAR AND TEAR ONLY.,1,0.99,Used,1,T-Mobile,Black,16,iPad mini 2,1,11096
"Ipad was only used a few times and is in mint like new condition. Comes with a high speed charger, ",1,150,Used,0,None,Black,16,iPad 1,0,10706
"iPad was used for 9 month it have normal wear and tear,Please look at all the pictures make sure you ",0,198,Used,0,None,Unknown,16,iPad mini,0,11124
iPad works however the screen replacement was not done cleanly. As a result the home button is loose ,1,89,Used,0,None,Black,16,iPad 2,1,10251
"It is Geek Squad certified. It was activated on February 4, 2015. It has the one year manufacturer ",1,0.99,Seller refurbished,0,None,White,16,iPad Air 2,1,10861
It&#039;s in an open box with all accessories still in the original packaging.,0,319,New other (see details),0,None,Black,16,iPad Air,1,10183
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,159.99,Used,0,None,Black,16,iPad 3,0,10040
Item has Original packaging. Original packaging has stickers on box. Device has heavy scratches and ,1,111.5,Used,0,None,Unknown,16,iPad 2,1,10499
Item is in nice shape. Has a few scuffs on the backside of the iPad.,1,20,Used,0,None,White,16,iPad 1,1,10333
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,149.99,Used,0,None,Unknown,16,iPad Air,1,10519
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,149.97,Used,0,None,Unknown,16,iPad 2,0,11139
"Item is not in the original box. Shows signs of use, guaranteed to be in 100% working condition.",0,249.59,Seller refurbished,1,Unknown,Black,16,iPad 4,0,11074
Item is used and shows general wear associated with normal use. It has visible cosmetic ,1,149.98,Used,1,AT&T,Unknown,16,iPad 1,0,10941
its new with 2 week of use,1,260,New other (see details),0,None,Gold,16,iPad Air 2,1,11260
"Lightly Used Not Abused, Very Nice Used Condition with Minor Signs of Wear.",1,0.99,Used,0,None,Space Gray,16,iPad mini,1,11213
LIKE BRAND NEW 100% MONEY BACK GUARANTEE,0,399.99,Used,0,None,White,16,iPad Air,0,10167
Like New,0,292.5,Used,0,None,Unknown,16,iPad Air,1,10353
Like new - Working perfectly,1,259,Used,Unknown,Unknown,White,16,Unknown,0,11138
"LIKE NEW (MODEL A1430) + BLUETOOTH KEYBOARD (LATEST MODEL A1314), LEATHER CREAM SMART COVER, BLACK ",0,350,Used,1,Verizon,Black,16,iPad 3,0,10940
Like New Condition Apple iPad Mini 3 MGYE2LL/A 16GB Wi-Fi Gold Version Tablet/eReader. Includes USB ,0,303.67,Used,0,None,Gold,16,iPad mini Retina,0,11105
Like New Condition!,0,199.99,Used,0,None,Space Gray,16,iPad mini,0,11093
Like New in Excellent Condition. In Apple iPad mini Box. Fast Shipment,0,249.99,Manufacturer refurbished,0,None,White,16,iPad mini,0,11828
"Like new white iPad mini no scratches always kept in case, sold with keyboard, box and cords",1,201.99,Used,0,None,Unknown,16,iPad mini 2,1,10573
Like New with box,0,187.89,Used,0,None,Space Gray,16,iPad mini,0,11341
like new&lt;br&gt;,1,99.99,Manufacturer refurbished,1,Verizon,Unknown,16,iPad 3,0,10241
"Like new, barely used",0,185.49,Used,0,None,Space Gray,16,iPad mini,0,10374
Like out of the box new been in otter box since day one comes with otter box,0,525,Used,1,AT&T,Unknown,16,iPad 2,0,11559
Like-New condition. Please scroll all the way down to the bottom of the page and read the entire ,0,199.99,Used,0,None,White,16,iPad mini,0,10831
"Looks brand new. Doesn&#039;t have the box for it. Only has 1 scratch one it, very small. Not even ",1,0.99,New other (see details),0,None,Black,16,iPad 1,1,10726
"Manufacturer refurbished, i had it for 2 years already with minor scrapes and it work properly. ",1,265,Used,0,None,White,16,iPad mini,0,11482
Minor scratches along the side. Screen in good condition.,1,70,Used,0,None,Unknown,16,iPad mini,1,10406
Minor scratches on iPad body and/or screen.,0,184.99,Seller refurbished,0,None,Black,16,iPad mini,0,11248
Minor scuffs in the back. Otherwise looks flawless.  See all pictures.,0,210,Used,1,Sprint,White,16,iPad mini,0,10060
Mint condition,1,225,Used,0,None,White,16,iPad mini 2,0,11078
Mint Condition,0,319.99,Used,Unknown,Unknown,Space Gray,16,iPad Air,0,11772
MINT CONDITION!,1,199.99,Used,Unknown,Other,Gold,16,iPad Air 2,1,11233
NEAR MINT BEAUTIFUL DISPLAY MINIMAL SIGNS OF USE. SEE PHOTOS FOR DETAILS. INCLUDES FREE BRAND NEW ,1,259.95,Used,0,None,White,16,iPad mini 2,0,10895
"Near perfect cosmetic, perfect working condition.",0,220,Used,0,None,Unknown,16,iPad 3,0,10737
"Near perfect cosmetic, perfect working condition.",0,220,Used,0,None,Unknown,16,iPad 3,0,11304
"Never dropped, no scratches. Rarely used.",1,150,Seller refurbished,0,None,Unknown,16,iPad 2,0,10952
new digitizer and charger,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10220
new digitizer and charger,1,0.99,Used,0,None,Unknown,16,iPad 2,1,10223
New Digitizer installed. Some scratches on back + small dent on top right and bottom left corners.,0,199.99,Seller refurbished,0,None,White,16,iPad 4,1,10015
New in the opened package.  All is still sealed.  Few small cuts into the outer box on the outside ,0,350,New other (see details),1,T-Mobile,Unknown,16,iPad mini 2,0,10886
"New open box appears to be new, liquidation stock powers on works as it should.",1,175,New other (see details),0,None,White,16,iPad mini,0,10695
Nice Apple iPad Mini 16GB Wi-Fi 7.9&#034; Space Gray MF432LL/A A1432 Locked It does work just cannot ,1,100,Used,0,None,Black,16,iPad mini,1,10618
"No box, purchased for company demo but never used.",1,99,New other (see details),0,None,White,16,iPad 2,1,10531
No marks or blemishes,1,0.01,Used,0,None,Unknown,16,iPad mini,1,10543
no original box,0,79,Used,0,None,Unknown,16,iPad 1,0,10512
No original packaging for keyboard,1,175,Used,1,T-Mobile,White,16,iPad mini 2,1,10795
No scratches on the screen. In excellent working conditon. Case has marks from storing. l,1,160.57,Used,0,None,Unknown,16,iPad mini,1,10832
"No scratches, dents, drops or liquid damage.",1,185,Used,0,None,Unknown,16,iPad Air,1,10572
No scratches. Comes with Screen protector and charger.,0,149.99,Seller refurbished,0,None,Black,16,iPad 2,1,10089
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,16,iPad 2,1,11681
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,16,iPad mini,1,11723
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,0,None,Unknown,16,iPad Air,1,11730
Normal signs of wear and tear. Scratches on the back. See pictures. Comes with light blue magnetic ,0,175,Used,0,None,Unknown,16,iPad 2,0,10681
Note: One of the corners is slight scratched,0,189.99,Used,0,None,White,16,iPad 3,1,10147
One owner very clean.,0,199,Used,0,None,White,16,iPad 2,0,11320
One year old bought brand new,0,320,New other (see details),Unknown,Unknown,Black,16,iPad Air,0,10744
Only had for 2 months and just don&#039;t have a need for it but in perfect shape!! Will be unlocked only ,0,210,Used,0,None,Unknown,16,iPad mini,0,11543
"Only used a handful of times, like new",1,50,Used,0,None,Unknown,16,iPad 2,1,10290
"Only used for a few months has always had a screen protector and case on it, so it is flawless!",1,150,Used,0,None,Space Gray,16,Unknown,0,11127
"Opened box.  Like new.  Very lightly used for one day, but changed mind to get an iPad with cellular ",0,490.95,Used,0,None,Unknown,16,iPad Air 2,0,11259
Out of retail box. There&#039;s a small scratch and a smudge/mark down the length of screen.  Neither of ,0,279.99,New other (see details),1,Verizon,Black,16,iPad 4,0,10977
"Overall good condition. Some wear from use. Scratches/scuffs/nicks/scrapes on unit housing back, ",0,119.99,Used,1,Verizon,Unknown,16,iPad 2,0,10132
Overall item is in good condition and is fully operational and ready to use. Comes with box and ,0,89.5,Used,1,AT&T,Unknown,16,iPad 1,0,11856
Perfect condition,0,252.99,Manufacturer refurbished,1,AT&T,Black,16,iPad 3,0,10485
