year,sex,name,n,prop
1954,Male,Kerry,1662,8.0351e-4
1954,Male,Jessie,994,4.8056e-4
1954,Male,Marion,829,4.0079e-4
1954,Male,Jaime,295,1.4262e-4
1954,Male,Harley,243,1.1748e-4
1954,Male,Casey,236,1.141e-4
1954,Male,Riley,166,8.025e-5
1954,Male,Quinn,25,1.209e-5
1954,Male,Peyton,19,9.19e-6
1955,Female,Marion,1148,5.7266e-4
1955,Female,Jessie,747,3.7263e-4
1955,Female,Kerry,615,3.0678e-4
1955,Female,Jaime,57,2.843e-5
1955,Female,Casey,34,1.696e-5
1955,Male,Kerry,1604,7.6761e-4
1955,Male,Jessie,964,4.6133e-4
1955,Male,Marion,714,3.4169e-4
1955,Male,Jaime,376,1.7994e-4
1955,Male,Casey,297,1.4213e-4
1955,Male,Harley,226,1.0815e-4
1955,Male,Riley,131,6.269e-5
1955,Male,Quinn,30,1.436e-5
1955,Male,Peyton,22,1.053e-5
1956,Female,Marion,1103,5.3563e-4
1956,Female,Kerry,741,3.5984e-4
1956,Female,Jessie,684,3.3216e-4
1956,Female,Jaime,80,3.885e-5
1956,Female,Casey,62,3.011e-5
1956,Male,Kerry,1580,7.3674e-4
1956,Male,Jessie,1049,4.8914e-4
1956,Male,Marion,745,3.4739e-4
1956,Male,Jaime,397,1.8512e-4
1956,Male,Casey,352,1.6414e-4
1956,Male,Harley,235,1.0958e-4
1956,Male,Riley,133,6.202e-5
1956,Male,Quinn,42,1.958e-5
1956,Male,Peyton,22,1.026e-5
1957,Female,Marion,1053,5.0201e-4
1957,Female,Kerry,812,3.8712e-4
1957,Female,Jessie,632,3.013e-4
1957,Female,Jaime,68,3.242e-5
1957,Female,Casey,58,2.765e-5
1957,Female,Riley,6,2.86e-6
1957,Female,Peyton,5,2.38e-6
1957,Female,Quinn,5,2.38e-6
1957,Male,Kerry,1746,0.00079819000000000005
1957,Male,Jessie,1064,4.8641e-4
1957,Male,Marion,608,2.7795e-4
1957,Male,Jaime,440,2.0115e-4
1957,Male,Casey,367,1.6777e-4
1957,Male,Harley,236,1.0789e-4
1957,Male,Riley,141,6.446e-5
1957,Male,Quinn,57,2.606e-5
1957,Male,Peyton,22,1.006e-5
1958,Female,Marion,1054,5.1041e-4
1958,Female,Kerry,806,3.9031e-4
1958,Female,Jessie,589,2.8523e-4
1958,Female,Jaime,106,5.133e-5
1958,Female,Casey,63,3.051e-5
1958,Male,Kerry,1440,6.6882e-4
1958,Male,Jessie,1019,4.7328e-4
1958,Male,Marion,583,2.7078e-4
1958,Male,Jaime,581,2.6985e-4
1958,Male,Casey,374,1.7371e-4
1958,Male,Harley,176,8.174e-5
1958,Male,Riley,116,5.388e-5
1958,Male,Quinn,45,2.09e-5
1958,Male,Peyton,20,9.29e-6
1959,Female,Marion,920,4.4262e-4
1959,Female,Kerry,790,3.8008e-4
1959,Female,Jessie,584,2.8097e-4
1959,Female,Jaime,128,6.158e-5
1959,Female,Casey,86,4.138e-5
1959,Male,Kerry,1702,7.8569e-4
1959,Male,Jessie,959,0.00044270000000000003
1959,Male,Jaime,627,2.8944e-4
1959,Male,Marion,544,2.5112e-4
1959,Male,Casey,396,1.828e-4
1959,Male,Harley,178,8.217e-5
1959,Male,Riley,112,5.17e-5
1959,Male,Quinn,56,2.585e-5
1959,Male,Peyton,20,9.23e-6
1960,Female,Kerry,953,4.5821e-4
1960,Female,Marion,811,3.8993e-4
1960,Female,Jessie,509,2.4473e-4
1960,Female,Jaime,96,4.616e-5
1960,Female,Casey,76,3.654e-5
1960,Female,Quinn,7,3.37e-6
1960,Male,Kerry,2174,0.00100383
1960,Male,Jessie,935,4.3173e-4
1960,Male,Jaime,639,2.9506e-4
1960,Male,Marion,541,2.498e-4
1960,Male,Casey,348,1.6069e-4
1960,Male,Harley,172,7.942e-5
1960,Male,Riley,108,4.987e-5
1960,Male,Quinn,67,3.094e-5
1960,Male,Peyton,23,1.062e-5
1961,Female,Kerry,1040,5.0087e-4
1961,Female,Marion,749,3.6072e-4
1961,Female,Jessie,469,2.2587e-4
1961,Female,Jaime,130,6.261e-5
1961,Female,Casey,60,2.89e-5
1961,Female,Quinn,12,5.78e-6
1961,Female,Peyton,7,3.37e-6
1961,Male,Kerry,2027,9.4019e-4
1961,Male,Jessie,950,4.4064e-4
1961,Male,Jaime,667,3.0938e-4
1961,Male,Marion,564,2.616e-4
1961,Male,Casey,359,1.6652e-4
1961,Male,Harley,166,7.7e-5
1961,Male,Riley,102,4.731e-5
1961,Male,Quinn,67,3.108e-5
1961,Male,Peyton,17,7.89e-6
1962,Female,Kerry,1089,5.3725e-4
1962,Female,Marion,773,3.8135e-4
1962,Female,Jessie,445,2.1954e-4
1962,Female,Jaime,123,6.068e-5
1962,Female,Casey,79,3.897e-5
1962,Female,Peyton,7,3.45e-6
1962,Female,Quinn,6,2.96e-6
1962,Male,Kerry,1899,9.034e-4
1962,Male,Jessie,938,4.4623e-4
1962,Male,Jaime,663,3.1541e-4
1962,Male,Casey,517,2.4595e-4
1962,Male,Marion,490,2.3311e-4
1962,Male,Harley,138,6.565e-5
1962,Male,Riley,112,5.328e-5
1962,Male,Quinn,65,3.092e-5
1962,Male,Peyton,28,1.332e-5
1963,Female,Kerry,1164,5.8553e-4
1963,Female,Marion,737,3.7074e-4
1963,Female,Jessie,400,2.0121e-4
1963,Female,Jaime,115,5.785e-5
1963,Female,Casey,65,3.27e-5
1963,Female,Quinn,21,1.056e-5
1963,Female,Peyton,6,3.02e-6
1963,Male,Kerry,1722,8.3382e-4
1963,Male,Jessie,905,4.3822e-4
1963,Male,Jaime,644,3.1184e-4
1963,Male,Marion,458,2.2177e-4
1963,Male,Casey,367,1.7771e-4
1963,Male,Harley,134,6.489e-5
1963,Male,Quinn,100,4.842e-5
1963,Male,Riley,99,4.794e-5
1963,Male,Peyton,22,1.065e-5
1964,Female,Kerry,1179,6.0238e-4
1964,Female,Marion,725,3.7042e-4
1964,Female,Jessie,410,2.0948e-4
1964,Female,Jaime,101,5.16e-5
1964,Female,Casey,67,3.423e-5
1964,Female,Quinn,14,7.15e-6
1964,Female,Peyton,10,5.11e-6
1964,Male,Kerry,1566,7.7244e-4
1964,Male,Jessie,907,4.4739e-4
1964,Male,Jaime,694,3.4232e-4
1964,Male,Marion,456,2.2493e-4
1964,Male,Casey,396,1.9533e-4
1964,Male,Harley,148,7.3e-5
1964,Male,Quinn,120,5.919e-5
1964,Male,Riley,106,5.229e-5
1964,Male,Peyton,27,1.332e-5
1965,Female,Kerry,921,5.04e-4
1965,Female,Marion,567,3.1028e-4
1965,Female,Jessie,473,2.5884e-4
1965,Female,Jaime,111,6.074e-5
1965,Female,Casey,66,3.612e-5
1965,Female,Quinn,17,9.3e-6
1965,Female,Peyton,8,4.38e-6
1965,Female,Riley,6,3.28e-6
1965,Male,Kerry,1474,7.7775e-4
1965,Male,Jessie,874,4.6116e-4
1965,Male,Jaime,680,3.588e-4
1965,Male,Casey,442,2.3322e-4
1965,Male,Marion,430,2.2689e-4
1965,Male,Harley,124,6.543e-5
1965,Male,Quinn,104,5.488e-5
1965,Male,Riley,73,3.852e-5
1965,Male,Peyton,28,1.477e-5
1966,Female,Kerry,1032,5.8784e-4
1966,Female,Marion,534,3.0417e-4
1966,Female,Jessie,476,2.7114e-4
1966,Female,Jaime,150,8.544e-5
1966,Female,Casey,97,5.525e-5
1966,Female,Peyton,28,1.595e-5
1966,Female,Quinn,24,1.367e-5
1966,Male,Kerry,1241,6.8265e-4
1966,Male,Jessie,903,4.9672e-4
1966,Male,Jaime,726,3.9936e-4
1966,Male,Casey,562,3.0915e-4
1966,Male,Marion,351,1.9308e-4
1966,Male,Harley,140,7.701e-5
1966,Male,Quinn,110,6.051e-5
1966,Male,Riley,93,5.116e-5
1966,Male,Peyton,17,9.35e-6
1967,Female,Kerry,1258,7.328e-4
1967,Female,Marion,463,2.697e-4
1967,Female,Jessie,373,2.1728e-4
1967,Female,Jaime,147,8.563e-5
1967,Female,Casey,114,6.641e-5
1967,Female,Peyton,23,1.34e-5
1967,Female,Quinn,17,9.9e-6
1967,Male,Kerry,1124,6.3154e-4
1967,Male,Jessie,798,4.4837e-4
1967,Male,Jaime,714,4.0117e-4
1967,Male,Casey,503,2.8262e-4
1967,Male,Marion,344,1.9328e-4
1967,Male,Quinn,136,7.641e-5
1967,Male,Harley,125,7.023e-5
1967,Male,Riley,73,4.102e-5
1967,Male,Peyton,22,1.236e-5
1968,Female,Kerry,1735,0.00101489
1968,Female,Marion,436,2.5504e-4
1968,Female,Jessie,320,1.8718e-4
1968,Female,Casey,145,8.482e-5
1968,Female,Jaime,142,8.306e-5
1968,Female,Quinn,22,1.287e-5
1968,Female,Peyton,15,8.77e-6
1968,Female,Harley,5,2.92e-6
1968,Female,Riley,5,2.92e-6
1968,Male,Kerry,1085,6.109e-4
1968,Male,Jaime,791,4.4537e-4
1968,Male,Jessie,716,4.0314e-4
1968,Male,Casey,552,3.108e-4
1968,Male,Marion,367,2.0664e-4
1968,Male,Harley,123,6.925e-5
1968,Male,Quinn,115,6.475e-5
1968,Male,Riley,94,5.293e-5
1968,Male,Peyton,24,1.351e-5
1969,Female,Kerry,1853,0.00105122
1969,Female,Marion,414,2.3486e-4
1969,Female,Jessie,324,1.8381e-4
1969,Female,Casey,191,1.0836e-4
1969,Female,Jaime,167,9.474e-5
1969,Female,Quinn,23,1.305e-5
1969,Female,Peyton,14,7.94e-6
1969,Male,Kerry,977,5.3389e-4
1969,Male,Jaime,798,4.3607e-4
1969,Male,Jessie,772,4.2186e-4
1969,Male,Casey,680,3.7159e-4
1969,Male,Marion,341,1.8634e-4
1969,Male,Quinn,115,6.284e-5
1969,Male,Harley,113,6.175e-5
1969,Male,Riley,79,4.317e-5
1969,Male,Peyton,27,1.475e-5
1970,Female,Kerry,1833,0.00100061
1970,Female,Marion,383,2.0907e-4
1970,Female,Jessie,336,1.8342e-4
1970,Female,Casey,243,1.3265e-4
1970,Female,Jaime,220,1.2009e-4
1970,Female,Peyton,24,1.31e-5
1970,Female,Quinn,22,1.201e-5
1970,Female,Harley,6,3.28e-6
1970,Male,Kerry,967,5.0745e-4
1970,Male,Jaime,935,4.9065e-4
1970,Male,Casey,897,4.7071e-4
1970,Male,Jessie,729,3.8255e-4
1970,Male,Marion,304,1.5953e-4
1970,Male,Quinn,161,8.449e-5
1970,Male,Harley,129,6.769e-5
1970,Male,Riley,78,4.093e-5
1970,Male,Peyton,23,1.207e-5
1971,Female,Kerry,2206,0.00125887
1971,Female,Marion,360,2.0544e-4
1971,Female,Jessie,359,2.0487e-4
1971,Female,Casey,317,1.809e-4
1971,Female,Jaime,195,1.1128e-4
1971,Female,Quinn,23,1.313e-5
1971,Female,Peyton,8,4.57e-6
1971,Female,Harley,5,2.85e-6
1971,Male,Casey,1127,6.1978e-4
1971,Male,Jaime,1032,5.6754e-4
1971,Male,Kerry,879,4.834e-4
1971,Male,Jessie,758,4.1685e-4
1971,Male,Marion,344,1.8918e-4
1971,Male,Quinn,148,8.139e-5
1971,Male,Harley,134,7.369e-5
1971,Male,Riley,96,5.279e-5
1971,Male,Peyton,29,1.595e-5
1972,Female,Kerry,1910,0.00118452
1972,Female,Casey,543,3.3675e-4
1972,Female,Jessie,317,1.9659e-4
1972,Female,Marion,293,1.8171e-4
1972,Female,Jaime,167,1.0357e-4
1972,Female,Peyton,15,9.3e-6
1972,Female,Quinn,12,7.44e-6
1972,Female,Harley,5,3.1e-6
1972,Male,Casey,1189,7.0999e-4
1972,Male,Jaime,1007,6.0131e-4
1972,Male,Jessie,756,4.5143e-4
1972,Male,Kerry,734,4.3829e-4
1972,Male,Marion,300,1.7914e-4
1972,Male,Harley,135,8.061e-5
1972,Male,Quinn,118,7.046e-5
1972,Male,Riley,85,5.076e-5
1972,Male,Peyton,23,1.373e-5
1973,Female,Kerry,1874,0.00120589
1973,Female,Casey,620,3.9896e-4
1973,Female,Jessie,352,2.2651e-4
1973,Female,Marion,268,1.7245e-4
1973,Female,Jaime,186,1.1969e-4
1973,Female,Peyton,13,8.37e-6
1973,Female,Riley,8,5.15e-6
1973,Male,Casey,1278,7.9172e-4
1973,Male,Jaime,1065,6.5977e-4
1973,Male,Jessie,752,4.6586e-4
1973,Male,Kerry,680,4.2126e-4
1973,Male,Marion,298,1.8461e-4
1973,Male,Quinn,136,8.425e-5
1973,Male,Harley,130,8.053e-5
1973,Male,Riley,90,5.575e-5
1973,Male,Peyton,34,2.106e-5
1974,Female,Kerry,1729,0.00110399
1974,Female,Casey,822,5.2486e-4
1974,Female,Jessie,358,2.2859e-4
1974,Female,Jaime,260,1.6601e-4
1974,Female,Marion,233,1.4877e-4
1974,Female,Peyton,19,1.213e-5
1974,Female,Quinn,11,7.02e-6
1974,Female,Riley,8,5.11e-6
1974,Male,Casey,1728,0.00105964
1974,Male,Jaime,1092,6.6963e-4
1974,Male,Jessie,750,4.5991e-4
1974,Male,Kerry,710,4.3539e-4
1974,Male,Marion,266,1.6312e-4
1974,Male,Harley,169,1.0363e-4
1974,Male,Quinn,162,9.934e-5
1974,Male,Riley,85,5.212e-5
1974,Male,Peyton,50,3.066e-5
1975,Female,Kerry,1678,0.00107513
1975,Female,Jaime,915,5.8626e-4
1975,Female,Casey,856,5.4846e-4
1975,Female,Jessie,392,2.5116e-4
1975,Female,Marion,234,1.4993e-4
1975,Female,Peyton,19,1.217e-5
1975,Female,Quinn,16,1.025e-5
1975,Female,Riley,11,7.05e-6
1975,Female,Harley,8,5.13e-6
1975,Male,Casey,1960,0.00120762
1975,Male,Jaime,1274,7.8495e-4
1975,Male,Jessie,771,4.7504e-4
1975,Male,Kerry,646,3.9802e-4
1975,Male,Marion,245,1.5095e-4
1975,Male,Quinn,152,9.365e-5
1975,Male,Harley,141,8.687e-5
1975,Male,Riley,107,6.593e-5
1975,Male,Peyton,45,2.773e-5
1976,Female,Jaime,7836,0.00498516
1976,Female,Kerry,1450,9.2247e-4
1976,Female,Casey,811,5.1595e-4
1976,Female,Jessie,448,2.8501e-4
1976,Female,Marion,192,1.2215e-4
1976,Female,Quinn,22,1.4e-5
1976,Female,Peyton,17,1.082e-5
1976,Female,Riley,7,4.45e-6
1976,Male,Casey,2126,0.00130172
1976,Male,Jaime,1402,8.5842e-4
1976,Male,Jessie,823,5.0391e-4
1976,Male,Kerry,583,3.5696e-4
1976,Male,Marion,241,1.4756e-4
1976,Male,Harley,169,1.0348e-4
1976,Male,Quinn,141,8.633e-5
1976,Male,Riley,106,6.49e-5
1976,Male,Peyton,30,1.837e-5
1977,Female,Jaime,5906,0.00359044
1977,Female,Kerry,1298,7.8909e-4
1977,Female,Casey,950,5.7753e-4
1977,Female,Jessie,486,2.9545e-4
1977,Female,Marion,229,1.3922e-4
1977,Female,Peyton,12,7.3e-6
1977,Female,Riley,11,6.69e-6
1977,Female,Quinn,8,4.86e-6
1977,Female,Harley,7,4.26e-6
1977,Male,Casey,2596,0.00151825
1977,Male,Jaime,1364,7.9773e-4
1977,Male,Jessie,933,5.4566e-4
1977,Male,Kerry,541,3.164e-4
1977,Male,Marion,228,1.3334e-4
1977,Male,Harley,189,1.1054e-4
1977,Male,Quinn,147,8.597e-5
1977,Male,Riley,117,6.843e-5
1977,Male,Peyton,27,1.579e-5
1978,Female,Jaime,4002,0.00243462
1978,Female,Casey,1533,9.326e-4
1978,Female,Kerry,1154,7.0204e-4
1978,Female,Jessie,643,3.9117e-4
1978,Female,Marion,184,1.1194e-4
1978,Female,Quinn,66,4.015e-5
1978,Female,Peyton,15,9.13e-6
1978,Female,Riley,13,7.91e-6
1978,Female,Harley,7,4.26e-6
1978,Male,Casey,3004,0.00175765
1978,Male,Jaime,1277,7.4718e-4
1978,Male,Jessie,895,5.2367e-4
1978,Male,Kerry,463,2.709e-4
1978,Male,Harley,237,1.3867e-4
1978,Male,Marion,206,1.2053e-4
1978,Male,Riley,167,9.771e-5
1978,Male,Quinn,164,9.596e-5
1978,Male,Peyton,39,2.282e-5
1979,Female,Jaime,3086,0.00179092
1979,Female,Casey,1957,0.00113572
1979,Female,Kerry,994,5.7686e-4
1979,Female,Jessie,721,4.1842e-4
1979,Female,Marion,185,1.0736e-4
1979,Female,Quinn,146,8.473e-5
1979,Female,Peyton,19,1.103e-5
1979,Female,Riley,15,8.71e-6
1979,Female,Harley,8,4.64e-6
1979,Male,Casey,3083,0.00172059
1979,Male,Jaime,1358,7.5789e-4
1979,Male,Jessie,1023,5.7093e-4
1979,Male,Kerry,462,2.5784e-4
1979,Male,Harley,244,1.3617e-4
1979,Male,Marion,232,1.2948e-4
1979,Male,Quinn,216,1.2055e-4
1979,Male,Riley,162,9.041e-5
1979,Male,Peyton,34,1.898e-5
1980,Female,Jaime,2645,0.00148565
1980,Female,Casey,2172,0.00121998
1980,Female,Kerry,1000,5.6168e-4
1980,Female,Jessie,813,4.5665e-4
1980,Female,Marion,189,1.0616e-4
1980,Female,Quinn,104,5.842e-5
1980,Female,Riley,18,1.011e-5
1980,Female,Peyton,17,9.55e-6
1980,Female,Harley,9,5.06e-6
1980,Male,Casey,3219,0.00173529
1980,Male,Jaime,1465,7.8975e-4
1980,Male,Jessie,1097,5.9137e-4
1980,Male,Kerry,431,2.3234e-4
1980,Male,Harley,281,1.5148e-4
1980,Male,Quinn,218,1.1752e-4
1980,Male,Marion,204,1.0997e-4
1980,Male,Riley,164,8.841e-5
1980,Male,Peyton,24,1.294e-5
1981,Female,Casey,2420,0.00135329
1981,Female,Jaime,2386,0.00133428
1981,Female,Jessie,1210,6.7665e-4
1981,Female,Kerry,939,5.251e-4
1981,Female,Marion,211,1.1799e-4
1981,Female,Quinn,96,5.368e-5
1981,Female,Riley,24,1.342e-5
1981,Female,Peyton,18,1.007e-5
1981,Female,Harley,11,6.15e-6
1981,Male,Casey,3518,0.00188894
1981,Male,Jaime,1410,7.5708e-4
1981,Male,Jessie,1251,6.7171e-4
1981,Male,Kerry,417,2.239e-4
1981,Male,Harley,244,1.3101e-4
1981,Male,Marion,187,1.0041e-4
1981,Male,Quinn,187,1.0041e-4
1981,Male,Riley,181,9.719e-5
1981,Male,Peyton,32,1.718e-5
1982,Female,Casey,2477,0.0013655
1982,Female,Jaime,2196,0.00121059
1982,Female,Jessie,1144,6.3066e-4
1982,Female,Kerry,937,5.1654e-4
1982,Female,Marion,211,1.1632e-4
1982,Female,Quinn,141,7.773e-5
1982,Female,Riley,36,1.985e-5
1982,Female,Peyton,19,1.047e-5
1982,Female,Harley,12,6.62e-6
1982,Male,Casey,3427,0.00181599
1982,Male,Jaime,1350,7.1537e-4
1982,Male,Jessie,1330,7.0478e-4
1982,Male,Kerry,418,2.215e-4
1982,Male,Harley,247,1.3089e-4
1982,Male,Riley,199,1.0545e-4
1982,Male,Quinn,190,1.0068e-4
1982,Male,Marion,183,9.697e-5
1982,Male,Peyton,37,1.961e-5
1983,Female,Casey,2556,0.00142845
1983,Female,Jaime,1782,9.9589e-4
1983,Female,Jessie,888,4.9627e-4
1983,Female,Kerry,786,4.3926e-4
1983,Female,Marion,175,9.78e-5
1983,Female,Quinn,96,5.365e-5
1983,Female,Riley,37,2.068e-5
1983,Female,Peyton,18,1.006e-5
1983,Female,Harley,12,6.71e-6
1983,Male,Casey,3230,0.00173345
1983,Male,Jaime,1223,6.5635e-4
1983,Male,Jessie,1161,6.2308e-4
1983,Male,Kerry,383,2.0555e-4
1983,Male,Riley,225,1.2075e-4
1983,Male,Harley,212,1.1377e-4
1983,Male,Quinn,176,9.445e-5
1983,Male,Marion,136,7.299e-5
1983,Male,Peyton,44,2.361e-5
1984,Female,Casey,2582,0.00143215
1984,Female,Jaime,1505,8.3477e-4
1984,Female,Jessie,992,5.5023e-4
1984,Female,Kerry,730,4.0491e-4
1984,Female,Marion,165,9.152e-5
1984,Female,Quinn,101,5.602e-5
1984,Female,Peyton,25,1.387e-5
1984,Female,Riley,22,1.22e-5
1984,Female,Harley,15,8.32e-6
1984,Male,Casey,3514,0.00187291
1984,Male,Jaime,1174,6.2572e-4
1984,Male,Jessie,1095,5.8362e-4
1984,Male,Kerry,512,2.7289e-4
1984,Male,Riley,253,1.3485e-4
1984,Male,Harley,208,1.1086e-4
1984,Male,Quinn,179,9.54e-5
1984,Male,Marion,169,9.007e-5
1984,Male,Peyton,50,2.665e-5
1985,Female,Casey,2477,0.00134189
1985,Female,Jaime,1557,8.4349e-4
1985,Female,Jessie,1112,6.0242e-4
1985,Female,Kerry,672,3.6405e-4
1985,Female,Marion,168,9.101e-5
1985,Female,Quinn,80,4.334e-5
1985,Female,Riley,64,3.467e-5
1985,Female,Peyton,22,1.192e-5
1985,Female,Harley,16,8.67e-6
1985,Male,Casey,3490,0.0018141
1985,Male,Jaime,1182,6.144e-4
1985,Male,Jessie,1131,5.8789e-4
1985,Male,Kerry,525,2.7289e-4
1985,Male,Riley,333,1.7309e-4
1985,Male,Harley,226,1.1747e-4
1985,Male,Quinn,172,8.941e-5
1985,Male,Marion,154,8.005e-5
1985,Male,Peyton,57,2.963e-5
1986,Female,Casey,3423,0.00185524
1986,Female,Jessie,1277,6.9212e-4
1986,Female,Jaime,1219,6.6069e-4
1986,Female,Kerry,698,3.7831e-4
1986,Female,Marion,162,8.78e-5
1986,Female,Riley,99,5.366e-5
1986,Female,Quinn,74,4.011e-5
1986,Female,Peyton,32,1.734e-5
1986,Female,Harley,17,9.21e-6
1986,Male,Casey,3763,0.00195892
1986,Male,Jaime,1211,6.3041e-4
1986,Male,Jessie,1117,5.8148e-4
1986,Male,Kerry,481,2.504e-4
1986,Male,Riley,403,2.0979e-4
1986,Male,Quinn,241,1.2546e-4
1986,Male,Harley,203,1.0568e-4
1986,Male,Marion,164,8.537e-5
1986,Male,Peyton,75,3.904e-5
1987,Female,Casey,3581,0.00191106
1987,Female,Jessie,1222,6.5214e-4
1987,Female,Jaime,1108,5.913e-4
1987,Female,Kerry,669,3.5702e-4
1987,Female,Marion,151,8.058e-5
1987,Female,Riley,88,4.696e-5
1987,Female,Quinn,82,4.376e-5
1987,Female,Peyton,29,1.548e-5
1987,Female,Harley,15,8e-6
1987,Male,Casey,3925,0.00201337
1987,Male,Jaime,1183,6.0683e-4
1987,Male,Jessie,1162,5.9606e-4
1987,Male,Riley,476,2.4417e-4
1987,Male,Kerry,409,2.098e-4
1987,Male,Quinn,269,1.3799e-4
1987,Male,Harley,189,9.695e-5
1987,Male,Marion,137,7.028e-5
1987,Male,Peyton,80,4.104e-5
1988,Female,Casey,3149,0.0016379
1988,Female,Jessie,1160,6.0336e-4
1988,Female,Jaime,950,4.9413e-4
1988,Female,Kerry,598,3.1104e-4
1988,Female,Marion,175,9.102e-5
1988,Female,Riley,123,6.398e-5
1988,Female,Quinn,92,4.785e-5
1988,Female,Peyton,42,2.185e-5
1988,Female,Harley,35,1.82e-5
1988,Male,Casey,4038,0.00201766
1988,Male,Jaime,1255,6.2708e-4
1988,Male,Jessie,1082,5.4064e-4
1988,Male,Riley,528,2.6382e-4
1988,Male,Kerry,421,2.1036e-4
1988,Male,Quinn,267,1.3341e-4
1988,Male,Harley,228,1.1392e-4
1988,Male,Marion,168,8.394e-5
1988,Male,Peyton,80,3.997e-5
1989,Female,Casey,3079,0.00154577
1989,Female,Jessie,1147,5.7584e-4
1989,Female,Jaime,865,4.3426e-4
1989,Female,Kerry,560,2.8114e-4
1989,Female,Riley,168,8.434e-5
1989,Female,Marion,152,7.631e-5
1989,Female,Harley,81,4.066e-5
1989,Female,Quinn,78,3.916e-5
1989,Female,Peyton,35,1.757e-5
1989,Male,Casey,3851,0.00183779
1989,Male,Jaime,1395,6.6573e-4
1989,Male,Jessie,1133,5.4069e-4
1989,Male,Riley,676,3.226e-4
1989,Male,Kerry,408,1.9471e-4
1989,Male,Quinn,361,1.7228e-4
1989,Male,Harley,269,1.2837e-4
1989,Male,Marion,149,7.111e-5
1989,Male,Peyton,107,5.106e-5
1990,Female,Casey,3261,0.00158766
1990,Female,Jessie,1117,5.4383e-4
1990,Female,Jaime,882,4.2941e-4
1990,Female,Kerry,555,2.7021e-4
1990,Female,Riley,238,1.1587e-4
1990,Female,Marion,166,8.082e-5
1990,Female,Harley,156,7.595e-5
1990,Female,Quinn,96,4.674e-5
1990,Female,Peyton,62,3.019e-5
1990,Male,Casey,4131,0.00192036
1990,Male,Jaime,1436,6.6755e-4
1990,Male,Jessie,1255,5.8341e-4
1990,Male,Riley,813,3.7794e-4
1990,Male,Kerry,402,1.8688e-4
1990,Male,Quinn,363,1.6875e-4
1990,Male,Harley,292,1.3574e-4
1990,Male,Marion,136,6.322e-5
1990,Male,Peyton,121,5.625e-5
1991,Female,Casey,3070,0.00151
1991,Female,Jessie,1116,5.4891e-4
1991,Female,Jaime,740,3.6397e-4
1991,Female,Kerry,478,2.3511e-4
1991,Female,Harley,316,1.5543e-4
1991,Female,Riley,285,1.4018e-4
1991,Female,Marion,158,7.771e-5
1991,Female,Quinn,107,5.263e-5
1991,Female,Peyton,67,3.295e-5
1991,Male,Casey,4107,0.001938
1991,Male,Jaime,1446,6.8234e-4
1991,Male,Jessie,1176,5.5493e-4
