Id,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
19,2017,Honda,Honda WR-V VX MT Petrol,WR-V,749000.0,28771.0,Petrol,Mumbai,7,4.0
20,2018,Honda,Honda WR-V S MT Petrol,WR-V,749000.0,33443.0,Petrol,Mumbai,7,3.0
21,2010,Maruti Suzuki,Maruti Suzuki Ritz VXI BS-IV,Ritz,265000.0,24000.0,Petrol,Mumbai,32,11.0
22,2013,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],Grand,340000.0,44380.0,Petrol,Mumbai,14,8.0
23,2016,Skoda,Skoda Rapid Style 1.5 TDI AT,Rapid,675000.0,58000.0,Diesel,Mumbai,27,5.0
24,2016,Honda,Honda City V Diesel,City,685000.0,69380.0,Diesel,Mumbai,7,5.0
25,2016,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT ABS,Celerio,445000.0,39500.0,Petrol,Mumbai,32,5.0
26,2012,BMW,BMW 3 Series 320d Prestige,3,925000.0,74460.0,Diesel,Mumbai,4,9.0
27,2017,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,4550000.0,42442.0,Diesel,Mumbai,2,4.0
28,2014,Volkswagen,Volkswagen Vento TSI,Vento,485000.0,65327.0,Petrol,Mumbai,3,7.0
29,2016,Honda,Honda Jazz V AT Petrol,Jazz,635000.0,19768.0,Petrol,Mumbai,7,5.0
30,2016,Tata,Tata Nano Twist XT,Nano,215000.0,2814.0,Petrol,Mumbai,40,5.0
31,2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000.0,20100.0,Petrol,Mumbai,14,6.0
32,2015,Mercedes-Benz,Mercedes-Benz GLA 200 CDI Sport,GLA,1950000.0,52717.0,Diesel,Mumbai,2,6.0
33,2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand,445000.0,20100.0,Petrol,Mumbai,14,6.0
34,2012,Maruti Suzuki,Maruti Suzuki A-Star Vxi,A-Star,275000.0,46646.0,Petrol,Mumbai,32,9.0
35,2014,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1875000.0,49000.0,Diesel,Mumbai,10,7.0
36,2018,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,5500000.0,32000.0,Diesel,Mumbai,2,3.0
37,2020,BMW,BMW X1 sDrive20i SportX,X1,3500000.0,5550.0,Petrol,Mumbai,4,1.0
38,2010,BMW,BMW Z4 Roadster sDrive35i,Z4,2900000.0,48000.0,Petrol,Mumbai,4,11.0
39,2016,Audi,Audi A3 35 TDI Premium,A3,1525000.0,31000.0,Diesel,Mumbai,10,5.0
40,2012,Audi,Audi A4 1.8 TFSI Multitronic Premium Plus,A4,975000.0,61000.0,Petrol,Mumbai,10,9.0
41,2014,BMW,BMW X3 xDrive-20d xLine,X3,2350000.0,65000.0,Diesel,Mumbai,4,7.0
42,2010,Bentley,Bentley Continental Flying Spur W12,Continental,7600000.0,49000.0,Petrol,Mumbai,44,11.0
43,2014,Audi,Audi Q3 2.0 TDI quattro Premium Plus,Q3,1470000.0,78000.0,Diesel,Mumbai,10,7.0
44,2010,Audi,Audi Q7 3.0 TDI quattro Premium,Q7,1550000.0,82000.0,Diesel,Mumbai,10,11.0
45,2017,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2350000.0,24000.0,Petrol,Mumbai,2,4.0
46,2013,Mercedes-Benz,Mercedes-Benz E-Class E350 Cabriolet,E-Class,3850000.0,6000.0,Petrol,Mumbai,2,8.0
47,2016,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2000000.0,33000.0,Petrol,Mumbai,2,5.0
48,2014,Audi,Audi Q7 35 TDI Technology Pack,Q7,2250000.0,107000.0,Diesel,Mumbai,10,7.0
49,2015,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2125000.0,71000.0,Diesel,Mumbai,4,6.0
50,2015,Mercedes-Benz,Mercedes-Benz E-Class E350 CDI Avantgarde,E-Class,1900000.0,94000.0,Diesel,Mumbai,2,6.0
51,2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1250000.0,55000.0,Petrol,Mumbai,2,9.0
52,2013,Audi,Audi A4 2.0 TDI (143bhp),A4,1150000.0,79000.0,Diesel,Mumbai,10,8.0
53,2014,Audi,Audi A6 2.0 TDI Premium Plus,A6,1550000.0,71000.0,Diesel,Mumbai,10,7.0
54,2012,Mercedes-Benz,Mercedes-Benz E-Class E200 CGI Blue Efficiency,E-Class,1125000.0,65000.0,Petrol,Mumbai,2,9.0
55,2018,Mercedes-Benz,Mercedes-Benz E-Class E 200,E-Class,4250000.0,34000.0,Petrol,Mumbai,2,3.0
56,2013,Audi,Audi Q7 35 TDI Technology Pack,Q7,2175000.0,80000.0,Diesel,Mumbai,10,8.0
57,2010,Mercedes-Benz,Mercedes-Benz E-Class E350,E-Class,975000.0,67000.0,Petrol,Mumbai,2,11.0
58,2009,BMW,BMW 7 Series 750Li Sedan,7,1850000.0,27000.0,Petrol,Mumbai,4,12.0
59,2014,Audi,Audi A6 2.0 TDI Premium,A6,1650000.0,76000.0,Diesel,Mumbai,10,7.0
60,2018,Ford,Ford Endeavour Titanium 2.2 4x2 AT,Endeavour,2900000.0,11100.0,Diesel,Thane,8,3.0
61,2006,Maruti Suzuki,Maruti Suzuki Swift VXi,Swift,175000.0,79915.0,Petrol,Thane,32,15.0
62,2013,Maruti Suzuki,Maruti Suzuki Swift DZire VDI,Swift,449000.0,67664.0,Diesel,Mumbai,32,8.0
63,2016,Mahindra,Mahindra XUV500 W10 AT,XUV500,1275000.0,72000.0,Diesel,Mumbai,24,5.0
64,2018,BMW,BMW X1 sDrive20d Expedition,X1,2500000.0,33500.0,Diesel,Dehradun,4,3.0
65,2016,BMW,BMW Z4 sDrive 35i,Z4,4850000.0,26700.0,Petrol,Dehradun,4,5.0
66,2017,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3700000.0,45700.0,Diesel,Dehradun,40,4.0
67,2018,Jaguar,Jaguar XE Prestige Diesel,XE,3500000.0,23500.0,Diesel,Dehradun,40,3.0
68,2012,Lamborghini,Lamborghini Gallardo India Ltd Edition LP 550-2,Gallardo,12500000.0,14500.0,Petrol,Dehradun,45,9.0
69,2020,MINI,MINI Countryman Cooper S [2020-2021],Countryman,3850000.0,6517.0,Petrol,Dehradun,39,1.0
70,2014,Mercedes-Benz,Mercedes-Benz C-Class C 200 Avantgarde,C-Class,2700000.0,22000.0,Petrol,Dehradun,2,7.0
71,2017,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2900000.0,44000.0,Diesel,Dehradun,2,4.0
72,2018,Audi,Audi A6 35 TDI Matrix,A6,3750000.0,22000.0,Diesel,Dehradun,10,3.0
73,2015,BMW,BMW 7 Series 730Ld Eminence,7,3700000.0,66000.0,Diesel,Dehradun,4,6.0
74,2015,BMW,BMW 7 Series 730Ld Prestige,7,3700000.0,48000.0,Diesel,Dehradun,4,6.0
75,2013,BMW,BMW 7 Series 730Ld Sedan,7,2900000.0,59000.0,Diesel,Dehradun,4,8.0
76,2012,Land Rover,Land Rover Range Rover Evoque Prestige SD4,Evoque,1900000.0,127000.0,Diesel,Dehradun,18,9.0
77,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4900000.0,19500.0,Diesel,Dehradun,18,3.0
78,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4800000.0,29500.0,Diesel,Dehradun,18,3.0
79,2016,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,5700000.0,56500.0,Diesel,Dehradun,2,5.0
80,2015,Renault,Renault Lodgy 110 PS RxL [2015-2016],Lodgy,565000.0,85400.0,Diesel,Mumbai,15,6.0
81,2013,Honda,Honda City 1.5 V MT,City,418000.0,98602.0,Petrol,Mumbai,7,8.0
82,2016,Mercedes-Benz,Mercedes-Benz CLA 200 Petrol Sport,CLA,2150000.0,28000.0,Petrol,Mumbai,2,5.0
83,2021,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,2095000.0,7500.0,Diesel,Mumbai,14,0.0
84,2016,Jaguar,Jaguar F-Pace Prestige [2016-2017],F-Pace,3750000.0,33000.0,Diesel,Mumbai,40,5.0
85,2021,Hyundai,Hyundai Creta SX (O) 1.4 Turbo 7 DCT Dual Tone,Creta,2050000.0,4500.0,Petrol,Mumbai,14,0.0
86,2015,BMW,BMW 3 Series 320d Luxury Line,3,1825000.0,65000.0,Diesel,Mumbai,4,6.0
87,2008,Audi,Audi Q7 3.0 TDI quattro,Q7,850000.0,84500.0,Diesel,Mumbai,10,13.0
88,2011,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1650000.0,55000.0,Diesel,Mumbai,2,10.0
89,2012,Audi,Audi Q5 2.0 TDI quattro Premium Plus,Q5,1350000.0,99000.0,Diesel,Mumbai,10,9.0
90,2012,Audi,Audi A8 L 3.0 TDI quattro,A8,2750000.0,25000.0,Diesel,Mumbai,10,9.0
91,2011,BMW,BMW 7 Series 740Li Sedan,7,1650000.0,65000.0,Petrol,Mumbai,4,10.0
92,2012,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,1950000.0,71000.0,Diesel,Mumbai,2,9.0
93,2013,Mercedes-Benz,Mercedes-Benz B-Class B180,B-Class,1050000.0,67000.0,Petrol,Mumbai,2,8.0
94,2007,BMW,BMW 3 Series 320d Sedan,3,425000.0,48000.0,Diesel,Mumbai,4,14.0
95,2016,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,5700000.0,56500.0,Diesel,Dehradun,2,5.0
96,2012,Land Rover,Land Rover Range Rover Evoque Prestige SD4,Evoque,1900000.0,127000.0,Diesel,Dehradun,18,9.0
97,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4900000.0,19500.0,Diesel,Dehradun,18,3.0
98,2018,Land Rover,Land Rover Range Rover Evoque SE Dynamic,Evoque,4800000.0,29500.0,Diesel,Dehradun,18,3.0
99,2010,Mercedes-Benz,Mercedes-Benz E-Class E350,E-Class,1050000.0,55000.0,Petrol,Mumbai,2,11.0
100,2015,Mercedes-Benz,Mercedes-Benz A-Class A 180 CDI Style,A-Class,1375000.0,61000.0,Diesel,Mumbai,2,6.0
101,2019,BMW,BMW X1 xDrive20d M Sport,X1,3499000.0,26000.0,Diesel,Mumbai,4,2.0
102,2019,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,4975000.0,25000.0,Diesel,Mumbai,4,2.0
103,2010,Toyota,Toyota Corolla Altis 1.8 G,Corolla,375000.0,46000.0,Petrol,Mumbai,1,11.0
104,2010,Audi,Audi Q5 2.0 TFSI quattro Premium Plus,Q5,999000.0,59000.0,Petrol,Mumbai,10,11.0
105,2015,Land Rover,Land Rover Range Rover Evoque Dynamic SD4,Evoque,2600000.0,77000.0,Diesel,Mumbai,18,6.0
106,2017,Toyota,Toyota Innova Crysta 2.4 G 7 STR [2016-2017],Innova,1575000.0,60000.0,Diesel,Mumbai,1,4.0
107,2014,Toyota,Toyota Innova 2.5 EV PS 7 STR BS-IV,Innova,950000.0,91000.0,Diesel,Mumbai,1,7.0
108,2015,MINI,MINI Cooper Countryman Cooper D,Cooper,2500000.0,14000.0,Diesel,Mumbai,39,6.0
109,2017,Nissan,Nissan Terrano XL (P),Terrano,690000.0,21000.0,Petrol,Mumbai,11,4.0
110,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2975000.0,12000.0,Diesel,Mumbai,8,4.0
111,2008,BMW,BMW 3 Series 325i Sedan,3,450000.0,70000.0,Petrol,Mumbai,4,13.0
112,2016,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1090000.0,39000.0,Petrol,Mumbai,14,5.0
113,2012,BMW,BMW X3 xDrive20d,X3,1675000.0,59000.0,Diesel,Mumbai,4,9.0
114,2014,Honda,Honda CR-V 2.4 AT,CR-V,1200000.0,108200.0,Petrol,Mumbai,7,7.0
115,2014,Land Rover,Land Rover Freelander 2 SE,Freelander,1950000.0,61000.0,Diesel,Mumbai,18,7.0
116,2015,Maruti Suzuki,Maruti Suzuki Ciaz ZXi (O) [2014-2015],Ciaz,575000.0,52000.0,Petrol,Mumbai,32,6.0
117,2010,Chevrolet,Chevrolet Beat LT Petrol,Beat,115000.0,82000.0,Petrol,Mumbai,12,11.0
118,2017,Toyota,Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],Innova,1760000.0000000002,56089.0,Diesel,Thane,1,4.0
119,2014,Audi,Audi Q3 2.0 TDI quattro Premium,Q3,1650000.0,45095.0,Diesel,Thane,10,7.0
120,2017,Mahindra,Mahindra KUV100 K6 D 5 STR,KUV100,575000.0,12321.0,Diesel,Thane,24,4.0
121,2017,Mahindra,Mahindra XUV500 W10 AT Black Interiors [2017],XUV500,1325000.0,67894.0,Diesel,Thane,24,4.0
122,2014,Renault,Renault Duster 110 PS RxZ AWD Diesel,Duster,625000.0,44835.0,Diesel,Thane,15,7.0
123,2013,Toyota,Toyota Fortuner 2.5 Sportivo 4x2 MT,Fortuner,1451000.0,118363.0,Diesel,Thane,1,8.0
124,2015,Hyundai,Hyundai i20 Active 1.2 SX,i20,525000.0,98877.0,Petrol,Thane,14,6.0
125,2019,Datsun,Datsun redi-GO T(O) 1.0,redi-GO,310000.0,41298.0,Petrol,Thane,50,2.0
126,2016,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.3,Baleno,675000.0,57209.0,Diesel,Thane,32,5.0
127,2017,Honda,Honda Jazz VX Petrol,Jazz,610000.0,49390.0,Petrol,Thane,7,4.0
128,2013,Nissan,Nissan Sunny XL,Sunny,345000.0,30477.0,Petrol,Thane,11,8.0
129,2012,Volkswagen,Volkswagen Polo Trendline 1.2L (P),Polo,325000.0,49000.0,Petrol,Mumbai,3,9.0
130,2016,Tata,Tata Tiago Revotron XZ,Tiago,465000.00000000006,19000.0,Petrol,Mumbai,40,5.0
131,2020,Tata,Tata Altroz XZ (O) Petrol,Altroz,815000.0,7500.0,Petrol,Mumbai,40,1.0
132,2018,Mahindra,Mahindra TUV300 T6 Plus,TUV300,775000.0,54989.0,Diesel,Thane,24,3.0
133,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,Vitara,891000.0,22388.0,Diesel,Thane,32,4.0
134,2015,Honda,Honda City V,City,660000.0,46475.0,Petrol,Thane,7,6.0
135,2014,Toyota,Toyota Etios Liva G SP*,Etios,350000.0,31913.0,Petrol,Thane,1,7.0
136,2015,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],Grand,470000.0,55474.0,Petrol,Thane,14,6.0
137,2014,Ford,Ford Figo Duratorq Diesel ZXI 1.4,Figo,335000.0,68051.0,Diesel,Thane,8,7.0
138,2011,Honda,Honda City 1.5 S MT,City,345000.0,44000.0,Petrol,Mumbai,7,10.0
139,2011,Honda,Honda Civic 1.8V AT,Civic,345000.0,36500.0,Petrol,Mumbai,7,10.0
140,2018,MINI,MINI Countryman Cooper D,Countryman,3445000.0000000005,3900.0,Diesel,Mumbai,39,3.0
141,2012,Skoda,Skoda Rapid Ambition 1.6 MPI MT,Rapid,335000.0,37000.0,Petrol,Mumbai,27,9.0
142,2018,Hyundai,Hyundai i20 Active 1.4 S,i20,790000.0,42000.0,Diesel,Mumbai,14,3.0
143,2019,Jeep,Jeep Compass Limited 2.0 Diesel [2017-2020],Compass,1450000.0,39500.0,Diesel,Mumbai,19,2.0
144,2017,Hyundai,Hyundai Elite i20 Sportz 1.2,Elite,595000.0,32000.0,Petrol,Mumbai,14,4.0
145,2012,Maruti Suzuki,Maruti Suzuki Ritz VXI BS-IV,Ritz,315000.0,56452.0,Petrol,Mumbai,32,9.0
146,2015,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,2500000.0,22341.0,Diesel,Mumbai,2,6.0
147,2018,Mahindra,Mahindra Bolero Power Plus SLE [2016-2019],Bolero,655000.0,85000.0,Diesel,Mumbai,24,3.0
148,2018,Mahindra,Mahindra Bolero Power Plus SLE [2016-2019],Bolero,675000.0,58000.0,Diesel,Mumbai,24,3.0
149,2014,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,1750000.0,21212.0,Diesel,Mumbai,2,7.0
150,2012,Maruti Suzuki,Maruti Suzuki SX4 VXi,SX4,315000.0,68890.0,Petrol,Mumbai,32,9.0
151,2016,Porsche,Porsche Cayenne Platinum Edition Diesel,Cayenne,7800000.0,31000.0,Diesel,Mumbai,5,5.0
152,2012,Honda,Honda City 1.5 V MT,City,489000.0,49000.0,Petrol,Navi Mumbai,7,9.0
153,2007,Mercedes-Benz,Mercedes-Benz C-Class 200 K AT,C-Class,375000.0,115140.0,Petrol,Mumbai,2,14.0
154,2013,Audi,Audi Q5 2.0 TDI quattro Premium,Q5,1600000.0,74000.0,Diesel,Dehradun,10,8.0
155,2014,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2800000.0,54500.0,Diesel,Dehradun,10,7.0
156,2015,BMW,BMW 5 Series 530d M Sport [2013-2017],5,2350000.0,77000.0,Diesel,Dehradun,4,6.0
157,2013,Audi,Audi A4 2.0 TDI (177bhp) Premium Sport,A4,1450000.0,63700.0,Diesel,Dehradun,10,8.0
158,2013,Audi,Audi A6 2.0 TDI Premium,A6,1650000.0,64000.0,Diesel,Dehradun,10,8.0
159,2018,Audi,Audi Q3 35 TDI quattro Premium Plus,Q3,2800000.0,43000.0,Diesel,Dehradun,10,3.0
160,2020,Land Rover,Land Rover Range Rover Evoque S [2020-2021],Evoque,5900000.0,9000.0,Diesel,Dehradun,18,1.0
161,2016,Volvo,Volvo V40 D3 R-Design,V40,1750000.0,78000.0,Diesel,Dehradun,9,5.0
162,2011,Chevrolet,Chevrolet Beat LS Petrol,Beat,171000.0,31000.0,Petrol,Mumbai,12,10.0
163,2011,Skoda,Skoda Superb Elegance 1.8 TSI MT,Superb,390000.0,54000.0,Petrol,Mumbai,27,10.0
164,2009,Toyota,Toyota Innova 2.5 V 8 STR,Innova,525000.0,65000.0,Diesel,Mumbai,1,12.0
165,2015,Toyota,Toyota Innova 2.5 G BS IV 7 STR,Innova,1050000.0,18000.0,Diesel,Mumbai,1,6.0
166,2015,Mahindra,Mahindra XUV500 W8,XUV500,890000.0,53000.0,Diesel,Mumbai,24,6.0
167,2015,Honda,Honda CR-V 2.0L 2WD AT,CR-V,1325000.0,42000.0,Petrol,Mumbai,7,6.0
168,2020,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,1990000.0,7800.0,Diesel,Mumbai,14,1.0
169,2017,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Elite,550000.0,20000.0,Petrol,Mumbai,14,4.0
170,2018,Maruti Suzuki,Maruti Suzuki Dzire ZDi,Dzire,785000.0,27000.0,Diesel,Thane,32,3.0
171,2013,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2050000.0,43000.0,Diesel,Mumbai,10,8.0
172,2015,BMW,BMW 3 Series GT 320d Luxury Line [2014-2016],3,2350000.0,37000.0,Diesel,Mumbai,4,6.0
173,2018,Mahindra,Mahindra XUV500 W9 [2018-2020],XUV500,1445000.0,34000.0,Diesel,Mumbai,24,3.0
174,2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,995000.0,38000.0,Petrol,Mumbai,14,4.0
175,2017,Mercedes-Benz,Mercedes-Benz CLA 45 AMG 4MATIC [2017-2017],CLA,4300000.0,17000.0,Petrol,Dehradun,2,4.0
176,2018,Mahindra,Mahindra XUV500 W9 [2018-2020],XUV500,1445000.0,34000.0,Diesel,Mumbai,24,3.0
177,2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,995000.0,38000.0,Petrol,Mumbai,14,4.0
178,2009,Toyota,Toyota Innova 2.5 V 8 STR,Innova,525000.0,65000.0,Diesel,Mumbai,1,12.0
179,2011,Chevrolet,Chevrolet Beat LS Petrol,Beat,171000.0,31000.0,Petrol,Mumbai,12,10.0
180,2017,Hyundai,Hyundai Elite i20 Magna Executive 1.2,Elite,550000.0,20000.0,Petrol,Mumbai,14,4.0
181,2020,Hyundai,Hyundai Creta SX (O) 1.5 Diesel Automatic,Creta,1990000.0,7800.0,Diesel,Mumbai,14,1.0
182,2020,Hyundai,Hyundai Creta SX (O) 1.4 Turbo 7 DCT,Creta,2025000.0,9000.0,Petrol,Mumbai,14,1.0
183,2014,Mercedes-Benz,Mercedes-Benz S-Class 350 CDI L,S-Class,4700000.0,49000.0,Diesel,Navi Mumbai,2,7.0
184,2019,Hyundai,Hyundai Creta 1.6 SX Plus Petrol,Creta,1550000.0,10500.0,Petrol,Navi Mumbai,14,2.0
185,2018,Honda,Honda Jazz V Petrol,Jazz,640000.0,33000.0,Petrol,Navi Mumbai,7,3.0
186,2013,Maruti Suzuki,Maruti Suzuki SX4 ZXi,SX4,399000.0,47284.0,Petrol,Mumbai,32,8.0
187,2015,Volkswagen,Volkswagen Vento Highline Petrol,Vento,521000.0,62618.0,Petrol,Mumbai,3,6.0
188,2020,Mercedes-Benz,Mercedes-Benz C-Class C 220d Progressive [2018-2019],C-Class,4750000.0,4200.0,Diesel,Mumbai,2,1.0
189,2017,Hyundai,Hyundai Verna 1.6 VTVT S,Verna,675000.0,31414.0,Petrol,Mumbai,14,4.0
190,2016,Hyundai,Hyundai Elite i20 Asta 1.2 (O) [2016],Elite,650000.0,24694.0,Petrol,Mumbai,14,5.0
191,2013,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,325000.0,29708.0,Petrol,Mumbai,14,8.0
192,2012,Toyota,Toyota Etios G,Etios,375000.0,40200.0,Petrol,Thane,1,9.0
193,2015,Toyota,Toyota Innova 2.5 G BS IV 7 STR,Innova,1030000.0,156334.0,Diesel,Thane,1,6.0
194,2013,Maruti Suzuki,Maruti Suzuki Ritz Zxi BS-IV,Ritz,365000.0,32000.0,Petrol,Thane,32,8.0
195,2021,Maruti Suzuki,Maruti Suzuki Baleno Delta Automatic,Baleno,900000.0,350.0,Petrol,Mumbai,32,0.0
196,2015,Tata,Tata Zest XMA Diesel,Zest,495000.0,61649.0,Diesel,Thane,40,6.0
197,2016,Honda,Honda BR-V V CVT Petrol,BR-V,855000.0000000001,28367.0,Petrol,Thane,7,5.0
198,2019,Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.3,S-Cross,985000.0,33997.0,Diesel,Thane,32,2.0
199,2011,Honda,Honda City 1.5 V AT,City,465000.00000000006,47209.0,Petrol,Thane,7,10.0
200,2013,Hyundai,Hyundai Elantra 1.6 SX AT,Elantra,675000.0,62812.0,Diesel,Thane,14,8.0
201,2014,Maruti Suzuki,Maruti Suzuki Ciaz ZXi,Ciaz,645000.0,52204.0,Petrol,Thane,32,7.0
202,2011,Honda,Honda Brio V MT,Brio,295000.0,39295.0,Petrol,Thane,7,10.0
203,2017,Hyundai,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,Grand,521000.0,54803.0,Petrol,Thane,14,4.0
204,2014,Toyota,Toyota Innova 2.5 VX 7 STR BS-III,Innova,975000.0,150116.0,Diesel,Thane,1,7.0
205,2016,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.2,Baleno,621000.0,48968.0,Petrol,Thane,32,5.0
206,2017,Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,Vitara,894999.9999999999,43494.0,Diesel,Thane,32,4.0
207,2017,Nissan,Nissan Sunny XV CVT,Sunny,635000.0,41584.0,Petrol,Thane,11,4.0
208,2016,Hyundai,Hyundai Creta 1.6 SX Plus AT,Creta,1145000.0,56839.0,Diesel,Thane,14,5.0
209,2012,Hyundai,Hyundai i10 Era 1.1 iRDE2 [2010-2017],i10,315000.0,34600.0,Petrol,Thane,14,9.0
210,2014,Renault,Renault Duster 110 PS RxZ Diesel,Duster,545000.0,77082.0,Diesel,Thane,15,7.0
211,2016,Maruti Suzuki,Maruti Suzuki Ciaz ZDi SHVS,Ciaz,615000.0,52000.0,Diesel,Mumbai,32,5.0
212,2014,Audi,Audi Q3 2.0 TDI quattro Premium,Q3,1455000.0,65000.0,Diesel,Mumbai,10,7.0
213,2012,Hyundai,Hyundai i20 Sportz 1.4 CRDI,i20,349000.0,84000.0,Diesel,Navi Mumbai,14,9.0
214,2017,Maruti Suzuki,Maruti Suzuki Ciaz Delta 1.3 Hybrid,Ciaz,775000.0,39535.0,Diesel,Thane,32,4.0
215,2015,Toyota,Toyota Etios Cross 1.2 G,Etios,499000.0,39792.0,Petrol,Thane,1,6.0
216,2016,Toyota,Toyota Corolla Altis VL AT Petrol,Corolla,1095000.0,31552.0,Petrol,Thane,1,5.0
217,2015,Hyundai,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,Verna,725000.0,37399.0,Petrol,Thane,14,6.0
218,2012,Toyota,Toyota Innova 2.5 G4 7 STR,Innova,765000.0,158359.0,Diesel,Thane,1,9.0
